time,x,y
0.000000e+00,1.000000e+00,1.000000e-01
0.000000e+00,1.000008e+00,9.596166e-02
1.000000e-03,9.999999e-01,9.192807e-02
2.000000e-03,9.999762e-01,8.789926e-02
3.000000e-03,9.999368e-01,8.387528e-02
4.000000e-03,9.998817e-01,7.985618e-02
5.000000e-03,9.998110e-01,7.584200e-02
6.000000e-03,9.997247e-01,7.183279e-02
7.000000e-03,9.996228e-01,6.782859e-02
8.000000e-03,9.995055e-01,6.382944e-02
9.000000e-03,9.993727e-01,5.983540e-02
1.000000e-02,9.992246e-01,5.584650e-02
1.100000e-02,9.990611e-01,5.186279e-02
1.200000e-02,9.988823e-01,4.788431e-02
1.300000e-02,9.986883e-01,4.391111e-02
1.400000e-02,9.984790e-01,3.994322e-02
1.500000e-02,9.982546e-01,3.598069e-02
1.600000e-02,9.980152e-01,3.202357e-02
1.700000e-02,9.977606e-01,2.807189e-02
1.800000e-02,9.974910e-01,2.412570e-02
1.900000e-02,9.972065e-01,2.018504e-02
2.000000e-02,9.969071e-01,1.624995e-02
2.100000e-02,9.965928e-01,1.232047e-02
2.200000e-02,9.962636e-01,8.396649e-03
2.300000e-02,9.959197e-01,4.478519e-03
2.400000e-02,9.955611e-01,5.661255e-04
2.500000e-02,9.951878e-01,-3.340493e-03
2.600000e-02,9.947998e-01,-7.241295e-03
2.700000e-02,9.943973e-01,-1.113624e-02
2.800000e-02,9.939802e-01,-1.502529e-02
2.900000e-02,9.935487e-01,-1.890841e-02
3.000000e-02,9.931027e-01,-2.278554e-02
3.100000e-02,9.926423e-01,-2.665667e-02
3.200000e-02,9.921675e-01,-3.052174e-02
3.300000e-02,9.916785e-01,-3.438072e-02
3.400000e-02,9.911752e-01,-3.823358e-02
3.500000e-02,9.906577e-01,-4.208026e-02
3.600000e-02,9.901260e-01,-4.592073e-02
3.700000e-02,9.895803e-01,-4.975497e-02
3.800000e-02,9.890204e-01,-5.358292e-02
3.900000e-02,9.884466e-01,-5.740455e-02
4.000000e-02,9.878588e-01,-6.121982e-02
4.100000e-02,9.872570e-01,-6.502871e-02
4.200000e-02,9.866414e-01,-6.883116e-02
4.300000e-02,9.860120e-01,-7.262715e-02
4.400000e-02,9.853688e-01,-7.641663e-02
4.500000e-02,9.847118e-01,-8.019958e-02
4.600000e-02,9.840412e-01,-8.397595e-02
4.700000e-02,9.833569e-01,-8.774571e-02
4.800000e-02,9.826591e-01,-9.150883e-02
4.900000e-02,9.819477e-01,-9.526526e-02
5.000000e-02,9.812228e-01,-9.901499e-02
5.100000e-02,9.804844e-01,-1.027580e-01
5.200000e-02,9.797327e-01,-1.064941e-01
5.300000e-02,9.789676e-01,-1.102235e-01
5.400000e-02,9.781892e-01,-1.139460e-01
5.500000e-02,9.773975e-01,-1.176617e-01
5.600000e-02,9.765927e-01,-1.213704e-01
5.700000e-02,9.757746e-01,-1.250721e-01
5.800000e-02,9.749435e-01,-1.287669e-01
5.900000e-02,9.740993e-01,-1.324546e-01
6.000000e-02,9.732420e-01,-1.361353e-01
6.100000e-02,9.723718e-01,-1.398089e-01
6.200000e-02,9.714887e-01,-1.434754e-01
6.300000e-02,9.705927e-01,-1.471348e-01
6.400000e-02,9.696838e-01,-1.507870e-01
6.500000e-02,9.687622e-01,-1.544319e-01
6.600000e-02,9.678278e-01,-1.580696e-01
6.700000e-02,9.668807e-01,-1.617000e-01
6.800000e-02,9.659210e-01,-1.653232e-01
6.900000e-02,9.649487e-01,-1.689390e-01
7.000000e-02,9.639638e-01,-1.725474e-01
7.100000e-02,9.629665e-01,-1.761484e-01
7.200000e-02,9.619566e-01,-1.797420e-01
7.300000e-02,9.609344e-01,-1.833281e-01
7.400000e-02,9.598998e-01,-1.869068e-01
7.500000e-02,9.588529e-01,-1.904779e-01
7.600000e-02,9.577937e-01,-1.940415e-01
7.700000e-02,9.567223e-01,-1.975975e-01
7.800000e-02,9.556388e-01,-2.011458e-01
7.900000e-02,9.545431e-01,-2.046866e-01
8.000000e-02,9.534353e-01,-2.082197e-01
8.100000e-02,9.523155e-01,-2.117451e-01
8.200000e-02,9.511837e-01,-2.152628e-01
8.300000e-02,9.500400e-01,-2.187727e-01
8.400000e-02,9.488843e-01,-2.222749e-01
8.500000e-02,9.477169e-01,-2.257693e-01
8.600000e-02,9.465376e-01,-2.292558e-01
8.700000e-02,9.453466e-01,-2.327345e-01
8.800000e-02,9.441438e-01,-2.362052e-01
8.900000e-02,9.429295e-01,-2.396681e-01
9.000000e-02,9.417035e-01,-2.431231e-01
9.100000e-02,9.404659e-01,-2.465700e-01
9.200000e-02,9.392168e-01,-2.500090e-01
9.300000e-02,9.379563e-01,-2.534400e-01
9.400000e-02,9.366843e-01,-2.568629e-01
9.500000e-02,9.354009e-01,-2.602778e-01
9.600000e-02,9.341062e-01,-2.636846e-01
9.700000e-02,9.328003e-01,-2.670832e-01
9.800000e-02,9.314830e-01,-2.704737e-01
9.900000e-02,9.301546e-01,-2.738561e-01
1.000000e-01,9.288151e-01,-2.772302e-01
1.010000e-01,9.274644e-01,-2.805962e-01
1.020000e-01,9.261027e-01,-2.839539e-01
1.030000e-01,9.247300e-01,-2.873033e-01
1.040000e-01,9.233463e-01,-2.906445e-01
1.050000e-01,9.219517e-01,-2.939773e-01
1.060000e-01,9.205463e-01,-2.973018e-01
1.070000e-01,9.191300e-01,-3.006179e-01
1.080000e-01,9.177029e-01,-3.039257e-01
1.090000e-01,9.162652e-01,-3.072251e-01
1.100000e-01,9.148167e-01,-3.105160e-01
1.110000e-01,9.133576e-01,-3.137985e-01
1.120000e-01,9.118879e-01,-3.170725e-01
1.130000e-01,9.104076e-01,-3.203380e-01
1.140000e-01,9.089169e-01,-3.235950e-01
1.150000e-01,9.074157e-01,-3.268435e-01
1.160000e-01,9.059041e-01,-3.300834e-01
1.170000e-01,9.043821e-01,-3.333147e-01
1.180000e-01,9.028498e-01,-3.365375e-01
1.190000e-01,9.013073e-01,-3.397516e-01
