time,u0,u1,tau
0.00000000e+00,1.00000000e+00,1.00000000e-01,1.00000000e-02
1.00000000e-02,1.00007820e+00,5.98167427e-02,1.00000000e-02
2.00000000e-02,9.98595253e-01,1.99798036e-02,1.00000000e-02
3.00000000e-02,9.95591861e-01,-1.94585872e-02,1.00000000e-02
4.00000000e-02,9.90310010e-01,-5.82005799e-02,1.00000000e-02
5.00000000e-02,9.83661636e-01,-9.61542993e-02,1.00000000e-02
6.00000000e-02,9.75632957e-01,-1.33529518e-01,1.00000000e-02
7.00000000e-02,9.66294522e-01,-1.70128278e-01,1.00000000e-02
8.00000000e-02,9.55707542e-01,-2.05968450e-01,1.00000000e-02
9.00000000e-02,9.43906355e-01,-2.41019886e-01,1.00000000e-02
1.00000000e-01,9.30945503e-01,-2.75252784e-01,1.00000000e-02
1.10000000e-01,9.16871318e-01,-3.08646283e-01,1.00000000e-02
1.20000000e-01,9.01731599e-01,-3.41176723e-01,1.00000000e-02
1.30000000e-01,8.85573789e-01,-3.72824253e-01,1.00000000e-02
1.40000000e-01,8.68444526e-01,-4.03570567e-01,1.00000000e-02
1.50000000e-01,8.50390157e-01,-4.33399159e-01,1.00000000e-02
1.60000000e-01,8.31456391e-01,-4.62295404e-01,1.00000000e-02
1.70000000e-01,8.11688349e-01,-4.90246365e-01,1.00000000e-02
1.80000000e-01,7.91130511e-01,-5.17240795e-01,1.00000000e-02
1.90000000e-01,7.69826668e-01,-5.43269052e-01,1.00000000e-02
2.00000000e-01,7.47819892e-01,-5.68323034e-01,1.00000000e-02
2.10000000e-01,7.25152498e-01,-5.92396121e-01,1.00000000e-02
2.20000000e-01,7.01866020e-01,-6.15483096e-01,1.00000000e-02
2.30000000e-01,6.78001183e-01,-6.37580086e-01,1.00000000e-02
2.40000000e-01,6.53597879e-01,-6.58684493e-01,1.00000000e-02
2.50000000e-01,6.28695155e-01,-6.78794921e-01,1.00000000e-02
2.60000000e-01,6.03331193e-01,-6.97911117e-01,1.00000000e-02
2.70000000e-01,5.77543303e-01,-7.16033901e-01,1.00000000e-02
2.80000000e-01,5.51367916e-01,-7.33165099e-01,1.00000000e-02
2.90000000e-01,5.24840578e-01,-7.49307487e-01,1.00000000e-02
3.00000000e-01,4.97995957e-01,-7.64464724e-01,1.00000000e-02
3.10000000e-01,4.70867837e-01,-7.78641293e-01,1.00000000e-02
3.20000000e-01,4.43489132e-01,-7.91842450e-01,1.00000000e-02
3.30000000e-01,4.15891891e-01,-8.04074160e-01,1.00000000e-02
3.40000000e-01,3.88107310e-01,-8.15343053e-01,1.00000000e-02
3.50000000e-01,3.60165747e-01,-8.25656372e-01,1.00000000e-02
3.60000000e-01,3.32096738e-01,-8.35021924e-01,1.00000000e-02
3.70000000e-01,3.03929011e-01,-8.43448039e-01,1.00000000e-02
3.80000000e-01,2.75690509e-01,-8.50943527e-01,1.00000000e-02
3.90000000e-01,2.47408411e-01,-8.57517644e-01,1.00000000e-02
4.00000000e-01,2.19109148e-01,-8.63180051e-01,1.00000000e-02
4.10000000e-01,1.90818431e-01,-8.67940787e-01,1.00000000e-02
4.20000000e-01,1.62561271e-01,-8.71810236e-01,1.00000000e-02
4.30000000e-01,1.34362003e-01,-8.74799104e-01,1.00000000e-02
4.40000000e-01,1.06244309e-01,-8.76918392e-01,1.00000000e-02
4.50000000e-01,7.82312406e-02,-8.78179379e-01,1.00000000e-02
4.60000000e-01,5.03452442e-02,-8.78593598e-01,1.00000000e-02
4.70000000e-01,2.26081807e-02,-8.78172828e-01,1.00000000e-02
4.80000000e-01,-4.95865056e-03,-8.76929072e-01,1.00000000e-02
4.90000000e-01,-3.23344917e-02,-8.74874553e-01,1.00000000e-02
5.00000000e-01,-5.94991054e-02,-8.72021701e-01,1.00000000e-02
5.10000000e-01,-8.64327562e-02,-8.68383147e-01,1.00000000e-02
5.20000000e-01,-1.13116192e-01,-8.63971720e-01,1.00000000e-02
5.30000000e-01,-1.39530629e-01,-8.58800439e-01,1.00000000e-02
5.40000000e-01,-1.65657733e-01,-8.52882514e-01,1.00000000e-02
5.50000000e-01,-1.91479609e-01,-8.46231346e-01,1.00000000e-02
5.60000000e-01,-2.16978787e-01,-8.38860526e-01,1.00000000e-02
5.70000000e-01,-2.42138211e-01,-8.30783838e-01,1.00000000e-02
5.80000000e-01,-2.66941232e-01,-8.22015260e-01,1.00000000e-02
5.90000000e-01,-2.91371598e-01,-8.12568968e-01,1.00000000e-02
6.00000000e-01,-3.15413447e-01,-8.02459339e-01,1.00000000e-02
6.10000000e-01,-3.39051308e-01,-7.91700956e-01,1.00000000e-02
6.20000000e-01,-3.62270092e-01,-7.80308613e-01,1.00000000e-02
6.30000000e-01,-3.85055096e-01,-7.68297316e-01,1.00000000e-02
6.40000000e-01,-4.07392001e-01,-7.55682292e-01,1.00000000e-02
6.50000000e-01,-4.29266872e-01,-7.42478987e-01,1.00000000e-02
6.60000000e-01,-4.50666168e-01,-7.28703075e-01,1.00000000e-02
6.70000000e-01,-4.71576738e-01,-7.14370458e-01,1.00000000e-02
6.80000000e-01,-4.91985835e-01,-6.99497267e-01,1.00000000e-02
6.90000000e-01,-5.11881119e-01,-6.84099867e-01,1.00000000e-02
7.00000000e-01,-5.31250666e-01,-6.68194854e-01,1.00000000e-02
7.10000000e-01,-5.50082977e-01,-6.51799058e-01,1.00000000e-02
7.20000000e-01,-5.68366990e-01,-6.34929538e-01,1.00000000e-02
7.30000000e-01,-5.86092089e-01,-6.17603580e-01,1.00000000e-02
7.40000000e-01,-6.03248117e-01,-5.99838695e-01,1.00000000e-02
7.50000000e-01,-6.19825386e-01,-5.81652611e-01,1.00000000e-02
7.60000000e-01,-6.35814691e-01,-5.63063268e-01,1.00000000e-02
7.70000000e-01,-6.51207322e-01,-5.44088809e-01,1.00000000e-02
7.80000000e-01,-6.65995078e-01,-5.24747572e-01,1.00000000e-02
7.90000000e-01,-6.80170275e-01,-5.05058077e-01,1.00000000e-02
8.00000000e-01,-6.93725765e-01,-4.85039014e-01,1.00000000e-02
8.10000000e-01,-7.06654940e-01,-4.64709231e-01,1.00000000e-02
8.20000000e-01,-7.18951750e-01,-4.44087719e-01,1.00000000e-02
8.30000000e-01,-7.30610712e-01,-4.23193594e-01,1.00000000e-02
8.40000000e-01,-7.41626916e-01,-4.02046081e-01,1.00000000e-02
8.50000000e-01,-7.51996039e-01,-3.80664493e-01,1.00000000e-02
8.60000000e-01,-7.61714351e-01,-3.59068216e-01,1.00000000e-02
8.70000000e-01,-7.70778723e-01,-3.37276683e-01,1.00000000e-02
8.80000000e-01,-7.79186628e-01,-3.15309356e-01,1.00000000e-02
8.90000000e-01,-7.86936153e-01,-2.93185702e-01,1.00000000e-02
9.00000000e-01,-7.94025997e-01,-2.70925172e-01,1.00000000e-02
9.10000000e-01,-8.00455474e-01,-2.48547174e-01,1.00000000e-02
9.20000000e-01,-8.06224513e-01,-2.26071051e-01,1.00000000e-02
9.30000000e-01,-8.11333655e-01,-2.03516058e-01,1.00000000e-02
9.40000000e-01,-8.15784056e-01,-1.80901335e-01,1.00000000e-02
9.50000000e-01,-8.19577474e-01,-1.58245884e-01,1.00000000e-02
