time,u0,u1
0.000000e+00,1.000000e+00,1.000000e-01
1.000000e-03,1.000008e+00,9.595919e-02
2.000000e-03,9.999999e-01,9.192319e-02
3.000000e-03,9.999762e-01,8.789206e-02
4.000000e-03,9.999367e-01,8.386584e-02
5.000000e-03,9.998815e-01,7.984457e-02
6.000000e-03,9.998106e-01,7.582829e-02
7.000000e-03,9.997242e-01,7.181706e-02
8.000000e-03,9.996221e-01,6.781092e-02
9.000000e-03,9.995046e-01,6.380990e-02
1.000000e-02,9.993716e-01,5.981407e-02
1.100000e-02,9.992232e-01,5.582345e-02
1.200000e-02,9.990595e-01,5.183809e-02
1.300000e-02,9.988804e-01,4.785803e-02
1.400000e-02,9.986860e-01,4.388333e-02
1.500000e-02,9.984764e-01,3.991402e-02
1.600000e-02,9.982517e-01,3.595013e-02
1.700000e-02,9.980118e-01,3.199173e-02
1.800000e-02,9.977568e-01,2.803884e-02
1.900000e-02,9.974868e-01,2.409151e-02
2.000000e-02,9.972017e-01,2.014979e-02
2.100000e-02,9.969018e-01,1.621370e-02
2.200000e-02,9.965869e-01,1.228330e-02
2.300000e-02,9.962573e-01,8.358621e-03
2.400000e-02,9.959128e-01,4.439709e-03
2.500000e-02,9.955535e-01,5.266028e-04
2.600000e-02,9.951796e-01,-3.380658e-03
2.700000e-02,9.947910e-01,-7.282032e-03
2.800000e-02,9.943877e-01,-1.117748e-02
2.900000e-02,9.939700e-01,-1.506697e-02
3.000000e-02,9.935377e-01,-1.895044e-02
3.100000e-02,9.930909e-01,-2.282788e-02
3.200000e-02,9.926297e-01,-2.669923e-02
3.300000e-02,9.921542e-01,-3.056446e-02
3.400000e-02,9.916643e-01,-3.442354e-02
3.500000e-02,9.911602e-01,-3.827641e-02
3.600000e-02,9.906418e-01,-4.212305e-02
3.700000e-02,9.901092e-01,-4.596341e-02
3.800000e-02,9.895625e-01,-4.979747e-02
3.900000e-02,9.890017e-01,-5.362517e-02
4.000000e-02,9.884269e-01,-5.744649e-02
4.100000e-02,9.878381e-01,-6.126139e-02
4.200000e-02,9.872353e-01,-6.506982e-02
4.300000e-02,9.866186e-01,-6.887177e-02
4.400000e-02,9.859881e-01,-7.266717e-02
4.500000e-02,9.853438e-01,-7.645602e-02
4.600000e-02,9.846858e-01,-8.023825e-02
4.700000e-02,9.840140e-01,-8.401385e-02
4.800000e-02,9.833286e-01,-8.778278e-02
4.900000e-02,9.826295e-01,-9.154499e-02
5.000000e-02,9.819169e-01,-9.530046e-02
5.100000e-02,9.811908e-01,-9.904915e-02
5.200000e-02,9.804512e-01,-1.027910e-01
5.300000e-02,9.796982e-01,-1.065261e-01
5.400000e-02,9.789318e-01,-1.102542e-01
5.500000e-02,9.781521e-01,-1.139754e-01
5.600000e-02,9.773591e-01,-1.176897e-01
5.700000e-02,9.765529e-01,-1.213970e-01
5.800000e-02,9.757335e-01,-1.250973e-01
5.900000e-02,9.749010e-01,-1.287905e-01
6.000000e-02,9.740553e-01,-1.324767e-01
6.100000e-02,9.731967e-01,-1.361557e-01
6.200000e-02,9.723250e-01,-1.398276e-01
6.300000e-02,9.714404e-01,-1.434923e-01
6.400000e-02,9.705429e-01,-1.471498e-01
6.500000e-02,9.696325e-01,-1.508001e-01
6.600000e-02,9.687094e-01,-1.544431e-01
6.700000e-02,9.677735e-01,-1.580788e-01
6.800000e-02,9.668249e-01,-1.617071e-01
6.900000e-02,9.658636e-01,-1.653281e-01
7.000000e-02,9.648897e-01,-1.689417e-01
7.100000e-02,9.639032e-01,-1.725478e-01
7.200000e-02,9.629042e-01,-1.761465e-01
7.300000e-02,9.618928e-01,-1.797377e-01
7.400000e-02,9.608689e-01,-1.833214e-01
7.500000e-02,9.598327e-01,-1.868976e-01
7.600000e-02,9.587841e-01,-1.904662e-01
7.700000e-02,9.577232e-01,-1.940271e-01
7.800000e-02,9.566502e-01,-1.975805e-01
7.900000e-02,9.555649e-01,-2.011261e-01
8.000000e-02,9.544675e-01,-2.046641e-01
8.100000e-02,9.533580e-01,-2.081944e-01
8.200000e-02,9.522364e-01,-2.117169e-01
8.300000e-02,9.511029e-01,-2.152316e-01
8.400000e-02,9.499574e-01,-2.187386e-01
8.500000e-02,9.488000e-01,-2.222377e-01
8.600000e-02,9.476307e-01,-2.257289e-01
8.700000e-02,9.464496e-01,-2.292123e-01
8.800000e-02,9.452568e-01,-2.326877e-01
8.900000e-02,9.440523e-01,-2.361552e-01
9.000000e-02,9.428361e-01,-2.396148e-01
9.100000e-02,9.416082e-01,-2.430663e-01
9.200000e-02,9.403688e-01,-2.465099e-01
9.300000e-02,9.391179e-01,-2.499454e-01
9.400000e-02,9.378555e-01,-2.533728e-01
9.500000e-02,9.365817e-01,-2.567922e-01
9.600000e-02,9.352965e-01,-2.602034e-01
9.700000e-02,9.339999e-01,-2.636064e-01
9.800000e-02,9.326921e-01,-2.670014e-01
9.900000e-02,9.313730e-01,-2.703881e-01
1.000000e-01,9.300427e-01,-2.737666e-01
1.010000e-01,9.287013e-01,-2.771368e-01
1.020000e-01,9.273488e-01,-2.804988e-01
1.030000e-01,9.259852e-01,-2.838525e-01
1.040000e-01,9.246106e-01,-2.871979e-01
1.050000e-01,9.232250e-01,-2.905350e-01
1.060000e-01,9.218286e-01,-2.938637e-01
1.070000e-01,9.204212e-01,-2.971840e-01
1.080000e-01,9.190031e-01,-3.004959e-01
1.090000e-01,9.175741e-01,-3.037994e-01
1.100000e-01,9.161345e-01,-3.070944e-01
1.110000e-01,9.146841e-01,-3.103810e-01
1.120000e-01,9.132232e-01,-3.136591e-01
1.130000e-01,9.117516e-01,-3.169286e-01
1.140000e-01,9.102695e-01,-3.201896e-01
1.150000e-01,9.087769e-01,-3.234421e-01
1.160000e-01,9.072738e-01,-3.266860e-01
1.170000e-01,9.057604e-01,-3.299213e-01
1.180000e-01,9.042366e-01,-3.331479e-01
1.190000e-01,9.027024e-01,-3.363659e-01
1.200000e-01,9.011581e-01,-3.395753e-01
1.210000e-01,8.996035e-01,-3.427760e-01
1.220000e-01,8.980387e-01,-3.459679e-01
1.230000e-01,8.964638e-01,-3.491512e-01
1.240000e-01,8.948788e-01,-3.523257e-01
1.250000e-01,8.932838e-01,-3.554914e-01
1.260000e-01,8.916788e-01,-3.586484e-01
1.270000e-01,8.900639e-01,-3.617966e-01
1.280000e-01,8.884391e-01,-3.649359e-01
1.290000e-01,8.868044e-01,-3.680664e-01
1.300000e-01,8.851599e-01,-3.711881e-01
1.310000e-01,8.835057e-01,-3.743008e-01
1.320000e-01,8.818417e-01,-3.774047e-01
1.330000e-01,8.801681e-01,-3.804997e-01
1.340000e-01,8.784849e-01,-3.835857e-01
1.350000e-01,8.767921e-01,-3.866628e-01
1.360000e-01,8.750897e-01,-3.897310e-01
1.370000e-01,8.733779e-01,-3.927901e-01
1.380000e-01,8.716567e-01,-3.958403e-01
1.390000e-01,8.699260e-01,-3.988814e-01
1.400000e-01,8.681860e-01,-4.019136e-01
1.410000e-01,8.664368e-01,-4.049366e-01
1.420000e-01,8.646782e-01,-4.079506e-01
1.430000e-01,8.629105e-01,-4.109555e-01
1.440000e-01,8.611335e-01,-4.139514e-01
1.450000e-01,8.593475e-01,-4.169381e-01
1.460000e-01,8.575524e-01,-4.199157e-01
1.470000e-01,8.557483e-01,-4.228841e-01
1.480000e-01,8.539351e-01,-4.258434e-01
1.490000e-01,8.521131e-01,-4.287935e-01
1.500000e-01,8.502821e-01,-4.317344e-01
1.510000e-01,8.484423e-01,-4.346662e-01
1.520000e-01,8.465937e-01,-4.375887e-01
1.530000e-01,8.447363e-01,-4.405019e-01
1.540000e-01,8.428702e-01,-4.434060e-01
1.550000e-01,8.409955e-01,-4.463007e-01
1.560000e-01,8.391121e-01,-4.491862e-01
1.570000e-01,8.372201e-01,-4.520624e-01
1.580000e-01,8.353197e-01,-4.549293e-01
1.590000e-01,8.334107e-01,-4.577869e-01
1.600000e-01,8.314932e-01,-4.606352e-01
1.610000e-01,8.295674e-01,-4.634741e-01
1.620000e-01,8.276332e-01,-4.663037e-01
1.630000e-01,8.256907e-01,-4.691239e-01
1.640000e-01,8.237399e-01,-4.719347e-01
1.650000e-01,8.217809e-01,-4.747362e-01
1.660000e-01,8.198137e-01,-4.775282e-01
1.670000e-01,8.178384e-01,-4.803108e-01
1.680000e-01,8.158550e-01,-4.830840e-01
1.690000e-01,8.138635e-01,-4.858478e-01
1.700000e-01,8.118640e-01,-4.886021e-01
1.710000e-01,8.098566e-01,-4.913469e-01
1.720000e-01,8.078412e-01,-4.940823e-01
1.730000e-01,8.058180e-01,-4.968081e-01
1.740000e-01,8.037869e-01,-4.995245e-01
1.750000e-01,8.017480e-01,-5.022314e-01
1.760000e-01,7.997014e-01,-5.049288e-01
1.770000e-01,7.976471e-01,-5.076166e-01
1.780000e-01,7.955852e-01,-5.102949e-01
1.790000e-01,7.935156e-01,-5.129637e-01
1.800000e-01,7.914384e-01,-5.156229e-01
