time,u0,u1,tau
0.00000000e+00,1.00000000e+00,1.00000000e-01,1.00000000e-02
1.00000000e-02,1.00007820e+00,5.98167427e-02,1.00000000e-02
2.00000000e-02,9.98595253e-01,1.99798036e-02,1.00000000e-02
3.00000000e-02,9.95591861e-01,-1.94585872e-02,1.00000000e-02
4.00000000e-02,9.85041193e-01,-9.69072591e-02,1.00000000e-02
5.00000000e-02,9.71165663e-01,-1.72737941e-01,1.00000000e-02
6.00000000e-02,9.49465922e-01,-2.45821436e-01,1.00000000e-02
7.00000000e-02,9.24517185e-01,-3.16195585e-01,1.00000000e-02
8.00000000e-02,8.93855433e-01,-3.83978888e-01,1.00000000e-02
9.00000000e-02,8.58690221e-01,-4.48112783e-01,1.00000000e-02
1.00000000e-01,8.19253686e-01,-5.08853556e-01,1.00000000e-02
1.10000000e-01,7.75893052e-01,-5.65808317e-01,1.00000000e-02
1.20000000e-01,7.29003101e-01,-6.18811185e-01,1.00000000e-02
1.30000000e-01,6.78922029e-01,-6.67715575e-01,1.00000000e-02
1.40000000e-01,6.26014042e-01,-7.12390499e-01,1.00000000e-02
1.50000000e-01,5.70631421e-01,-7.52742572e-01,1.00000000e-02
1.60000000e-01,5.13121350e-01,-7.88701165e-01,1.00000000e-02
1.70000000e-01,4.53823868e-01,-8.20221005e-01,1.00000000e-02
1.80000000e-01,3.93069643e-01,-8.47279251e-01,1.00000000e-02
1.90000000e-01,3.31179674e-01,-8.69873434e-01,1.00000000e-02
2.00000000e-01,2.68464427e-01,-8.88019679e-01,1.00000000e-02
2.10000000e-01,2.05223525e-01,-9.01750836e-01,1.00000000e-02
2.20000000e-01,1.41745627e-01,-9.11114855e-01,1.00000000e-02
2.30000000e-01,7.83084786e-02,-9.16173323e-01,1.00000000e-02
2.40000000e-01,1.51791137e-02,-9.17000191e-01,1.00000000e-02
2.50000000e-01,-4.73858540e-02,-9.13680711e-01,1.00000000e-02
2.60000000e-01,-1.09139888e-01,-9.06310572e-01,1.00000000e-02
2.70000000e-01,-1.69846176e-01,-8.94995225e-01,1.00000000e-02
2.80000000e-01,-2.29277309e-01,-8.79849381e-01,1.00000000e-02
2.90000000e-01,-2.87215011e-01,-8.60996670e-01,1.00000000e-02
3.00000000e-01,-3.43449961e-01,-8.38569419e-01,1.00000000e-02
3.10000000e-01,-3.97781721e-01,-8.12708530e-01,1.00000000e-02
3.20000000e-01,-4.50018775e-01,-7.83563428e-01,1.00000000e-02
3.30000000e-01,-4.99978703e-01,-7.51292037e-01,1.00000000e-02
3.40000000e-01,-5.47488479e-01,-7.16060762e-01,1.00000000e-02
3.50000000e-01,-5.92384893e-01,-6.78044433e-01,1.00000000e-02
3.60000000e-01,-6.34515078e-01,-6.37426194e-01,1.00000000e-02
3.70000000e-01,-6.73737140e-01,-5.94397301e-01,1.00000000e-02
3.80000000e-01,-7.09920853e-01,-5.49156811e-01,1.00000000e-02
3.90000000e-01,-7.42948406e-01,-5.01911143e-01,1.00000000e-02
4.00000000e-01,-7.72715168e-01,-4.52873497e-01,1.00000000e-02
4.10000000e-01,-7.99130437e-01,-4.02263127e-01,1.00000000e-02
4.20000000e-01,-8.22118151e-01,-3.50304468e-01,1.00000000e-02
4.30000000e-01,-8.41617521e-01,-2.97226121e-01,1.00000000e-02
4.40000000e-01,-8.57583568e-01,-2.43259711e-01,1.00000000e-02
4.50000000e-01,-8.69987521e-01,-1.88638632e-01,1.00000000e-02
4.60000000e-01,-8.78817071e-01,-1.33596710e-01,1.00000000e-02
4.70000000e-01,-8.84076459e-01,-7.83667965e-02,1.00000000e-02
4.80000000e-01,-8.85786379e-01,-2.31793441e-02,1.00000000e-02
4.90000000e-01,-8.83983697e-01,3.17390291e-02,1.00000000e-02
5.00000000e-01,-8.78720996e-01,8.61669341e-02,1.00000000e-02
5.10000000e-01,-8.70065933e-01,1.39889545e-01,1.00000000e-02
5.20000000e-01,-8.58100439e-01,1.92699842e-01,1.00000000e-02
5.30000000e-01,-8.42919775e-01,2.44399728e-01,1.00000000e-02
5.40000000e-01,-8.24631465e-01,2.94801021e-01,1.00000000e-02
5.50000000e-01,-8.03354130e-01,3.43726275e-01,1.00000000e-02
5.60000000e-01,-7.79216257e-01,3.91009444e-01,1.00000000e-02
5.70000000e-01,-7.52354924e-01,4.36496369e-01,1.00000000e-02
5.80000000e-01,-7.22914518e-01,4.80045097e-01,1.00000000e-02
5.90000000e-01,-6.91045466e-01,5.21526029e-01,1.00000000e-02
6.00000000e-01,-6.56903008e-01,5.60821910e-01,1.00000000e-02
6.10000000e-01,-6.20646036e-01,5.97827678e-01,1.00000000e-02
6.20000000e-01,-5.82436013e-01,6.32450183e-01,1.00000000e-02
6.30000000e-01,-5.42435995e-01,6.64607798e-01,1.00000000e-02
6.40000000e-01,-5.00809761e-01,6.94229947e-01,1.00000000e-02
6.50000000e-01,-4.57721057e-01,7.21256562e-01,1.00000000e-02
6.60000000e-01,-4.13332965e-01,7.45637503e-01,1.00000000e-02
6.70000000e-01,-3.67807390e-01,7.67331952e-01,1.00000000e-02
6.80000000e-01,-3.21304666e-01,7.86307805e-01,1.00000000e-02
6.90000000e-01,-2.73983262e-01,8.02541083e-01,1.00000000e-02
7.00000000e-01,-2.25999601e-01,8.16015379e-01,1.00000000e-02
7.10000000e-01,-1.77507954e-01,8.26721343e-01,1.00000000e-02
7.20000000e-01,-1.28660416e-01,8.34656238e-01,1.00000000e-02
7.30000000e-01,-7.96069394e-02,8.39823555e-01,1.00000000e-02
7.40000000e-01,-3.04954092e-02,8.42232704e-01,1.00000000e-02
7.50000000e-01,1.85282489e-02,8.41898791e-01,1.00000000e-02
7.60000000e-01,6.73199530e-02,8.38842461e-01,1.00000000e-02
7.70000000e-01,1.15737350e-01,8.33089829e-01,1.00000000e-02
7.80000000e-01,1.63639720e-01,8.24672477e-01,1.00000000e-02
7.90000000e-01,2.10887913e-01,8.13627528e-01,1.00000000e-02
8.00000000e-01,2.57344329e-01,7.99997765e-01,1.00000000e-02
8.10000000e-01,3.02872954e-01,7.83831811e-01,1.00000000e-02
8.20000000e-01,3.47339462e-01,7.65184337e-01,1.00000000e-02
8.30000000e-01,3.90611390e-01,7.44116297e-01,1.00000000e-02
8.40000000e-01,4.32558384e-01,7.20695171e-01,1.00000000e-02
8.50000000e-01,4.73052528e-01,6.94995199e-01,1.00000000e-02
8.60000000e-01,5.11968755e-01,6.67097594e-01,1.00000000e-02
8.70000000e-01,5.49185321e-01,6.37090721e-01,1.00000000e-02
8.80000000e-01,5.84584364e-01,6.05070212e-01,1.00000000e-02
8.90000000e-01,6.18052510e-01,5.71139028e-01,1.00000000e-02
9.00000000e-01,6.49481541e-01,5.35407429e-01,1.00000000e-02
9.10000000e-01,6.78769089e-01,4.97992863e-01,1.00000000e-02
9.20000000e-01,7.05819356e-01,4.59019749e-01,1.00000000e-02
9.30000000e-01,7.30543843e-01,4.18619159e-01,1.00000000e-02
9.40000000e-01,7.52862058e-01,3.76928398e-01,1.00000000e-02
9.50000000e-01,7.72702197e-01,3.34090465e-01,1.00000000e-02
9.60000000e-01,7.90001770e-01,2.90253425e-01,1.00000000e-02
9.70000000e-01,8.04708171e-01,2.45569677e-01,1.00000000e-02
