time,u0,u1,tau
0.00000000e+00,1.00000000e+00,1.00000000e-01,1.00000000e-02
1.00000000e-02,1.00007820e+00,5.98057758e-02,1.00000000e-02
2.00000000e-02,9.98594921e-01,1.99581822e-02,1.00000000e-02
3.00000000e-02,9.95590888e-01,-1.94904135e-02,1.00000000e-02
4.00000000e-02,9.91107175e-01,-5.84900982e-02,1.00000000e-02
5.00000000e-02,9.85185044e-01,-9.69933248e-02,1.00000000e-02
6.00000000e-02,9.77865818e-01,-1.34954814e-01,1.00000000e-02
7.00000000e-02,9.69190771e-01,-1.72331452e-01,1.00000000e-02
8.00000000e-02,9.59201054e-01,-2.09082181e-01,1.00000000e-02
9.00000000e-02,9.47937645e-01,-2.45167902e-01,1.00000000e-02
1.00000000e-01,9.35441317e-01,-2.80551378e-01,1.00000000e-02
1.10000000e-01,9.21752633e-01,-3.15197142e-01,1.00000000e-02
1.20000000e-01,9.06911955e-01,-3.49071428e-01,1.00000000e-02
1.30000000e-01,8.90959462e-01,-3.82142106e-01,1.00000000e-02
1.40000000e-01,8.73935190e-01,-4.14378636e-01,1.00000000e-02
1.50000000e-01,8.55879067e-01,-4.45752032e-01,1.00000000e-02
1.60000000e-01,8.36830960e-01,-4.76234849e-01,1.00000000e-02
1.70000000e-01,8.16830716e-01,-5.05801171e-01,1.00000000e-02
1.80000000e-01,7.95918208e-01,-5.34426628e-01,1.00000000e-02
1.90000000e-01,7.74133369e-01,-5.62088408e-01,1.00000000e-02
2.00000000e-01,7.51516222e-01,-5.88765288e-01,1.00000000e-02
2.10000000e-01,7.28106899e-01,-6.14437663e-01,1.00000000e-02
2.20000000e-01,7.03945655e-01,-6.39087592e-01,1.00000000e-02
2.30000000e-01,6.79072862e-01,-6.62698825e-01,1.00000000e-02
2.40000000e-01,6.53528992e-01,-6.85256848e-01,1.00000000e-02
2.50000000e-01,6.27354600e-01,-7.06748912e-01,1.00000000e-02
2.60000000e-01,6.00590277e-01,-7.27164054e-01,1.00000000e-02
2.70000000e-01,5.73276605e-01,-7.46493121e-01,1.00000000e-02
2.80000000e-01,5.45454097e-01,-7.64728769e-01,1.00000000e-02
2.90000000e-01,5.17163134e-01,-7.81865461e-01,1.00000000e-02
3.00000000e-01,4.88443888e-01,-7.97899446e-01,1.00000000e-02
3.10000000e-01,4.59336249e-01,-8.12828725e-01,1.00000000e-02
3.20000000e-01,4.29879744e-01,-8.26653010e-01,1.00000000e-02
3.30000000e-01,4.00113455e-01,-8.39373663e-01,1.00000000e-02
3.40000000e-01,3.70075950e-01,-8.50993623e-01,1.00000000e-02
3.50000000e-01,3.39805200e-01,-8.61517330e-01,1.00000000e-02
3.60000000e-01,3.09338521e-01,-8.70950631e-01,1.00000000e-02
3.70000000e-01,2.78712505e-01,-8.79300681e-01,1.00000000e-02
3.80000000e-01,2.47962972e-01,-8.86575841e-01,1.00000000e-02
3.90000000e-01,2.17124929e-01,-8.92785567e-01,1.00000000e-02
4.00000000e-01,1.86232533e-01,-8.97940300e-01,1.00000000e-02
4.10000000e-01,1.55319072e-01,-9.02051357e-01,1.00000000e-02
4.20000000e-01,1.24416951e-01,-9.05130817e-01,1.00000000e-02
4.30000000e-01,9.35576922e-02,-9.07191421e-01,1.00000000e-02
4.40000000e-01,6.27719425e-02,-9.08246466e-01,1.00000000e-02
4.50000000e-01,3.20894918e-02,-9.08309713e-01,1.00000000e-02
4.60000000e-01,1.53929897e-03,-9.07395298e-01,1.00000000e-02
4.70000000e-01,-2.88504747e-02,-9.05517657e-01,1.00000000e-02
4.80000000e-01,-5.90524253e-02,-9.02691451e-01,1.00000000e-02
4.90000000e-01,-8.90398612e-02,-8.98931515e-01,1.00000000e-02
5.00000000e-01,-1.18786755e-01,-8.94252799e-01,1.00000000e-02
5.10000000e-01,-1.48267690e-01,-8.88670342e-01,1.00000000e-02
5.20000000e-01,-1.77457813e-01,-8.82199233e-01,1.00000000e-02
5.30000000e-01,-2.06332775e-01,-8.74854604e-01,1.00000000e-02
5.40000000e-01,-2.34868688e-01,-8.66651616e-01,1.00000000e-02
5.50000000e-01,-2.63042071e-01,-8.57605467e-01,1.00000000e-02
5.60000000e-01,-2.90829813e-01,-8.47731401e-01,1.00000000e-02
5.70000000e-01,-3.18209129e-01,-8.37044733e-01,1.00000000e-02
5.80000000e-01,-3.45157529e-01,-8.25560871e-01,1.00000000e-02
5.90000000e-01,-3.71652795e-01,-8.13295357e-01,1.00000000e-02
6.00000000e-01,-3.97672962e-01,-8.00263904e-01,1.00000000e-02
6.10000000e-01,-4.23196305e-01,-7.86482441e-01,1.00000000e-02
6.20000000e-01,-4.48201345e-01,-7.71967165e-01,1.00000000e-02
6.30000000e-01,-4.72666850e-01,-7.56734585e-01,1.00000000e-02
6.40000000e-01,-4.96571857e-01,-7.40801580e-01,1.00000000e-02
6.50000000e-01,-5.19895696e-01,-7.24185443e-01,1.00000000e-02
6.60000000e-01,-5.42618023e-01,-7.06903937e-01,1.00000000e-02
6.70000000e-01,-5.64718862e-01,-6.88975337e-01,1.00000000e-02
6.80000000e-01,-5.86178658e-01,-6.70418473e-01,1.00000000e-02
6.90000000e-01,-6.06978327e-01,-6.51252769e-01,1.00000000e-02
7.00000000e-01,-6.27099322e-01,-6.31498272e-01,1.00000000e-02
7.10000000e-01,-6.46523693e-01,-6.11175678e-01,1.00000000e-02
7.20000000e-01,-6.65234162e-01,-5.90306348e-01,1.00000000e-02
7.30000000e-01,-6.83214186e-01,-5.68912316e-01,1.00000000e-02
7.40000000e-01,-7.00448029e-01,-5.47016291e-01,1.00000000e-02
7.50000000e-01,-7.16920835e-01,-5.24641645e-01,1.00000000e-02
7.60000000e-01,-7.32618685e-01,-5.01812397e-01,1.00000000e-02
7.70000000e-01,-7.47528671e-01,-4.78553188e-01,1.00000000e-02
7.80000000e-01,-7.61638942e-01,-4.54889242e-01,1.00000000e-02
7.90000000e-01,-7.74938762e-01,-4.30846329e-01,1.00000000e-02
8.00000000e-01,-7.87418553e-01,-4.06450711e-01,1.00000000e-02
8.10000000e-01,-7.99069927e-01,-3.81729088e-01,1.00000000e-02
8.20000000e-01,-8.09885717e-01,-3.56708537e-01,1.00000000e-02
8.30000000e-01,-8.19859996e-01,-3.31416446e-01,1.00000000e-02
8.40000000e-01,-8.28988083e-01,-3.05880444e-01,1.00000000e-02
8.50000000e-01,-8.37266544e-01,-2.80128333e-01,1.00000000e-02
