time,u0,u1,tau
0.00000000e+00,1.00000000e+00,1.00000000e-01,1.00000000e-02
1.25000000e-03,1.00000984e+00,9.49528309e-02,1.25000000e-03
2.50000000e-03,9.99994979e-01,8.99130110e-02,1.25000000e-03
3.75000000e-03,9.99955508e-01,8.48806302e-02,1.25000000e-03
5.00000000e-03,9.99891519e-01,7.98557779e-02,1.25000000e-03
6.25000000e-03,9.99803104e-01,7.48385429e-02,1.25000000e-03
7.50000000e-03,9.99690355e-01,6.98290134e-02,1.25000000e-03
8.75000000e-03,9.99553363e-01,6.48272768e-02,1.25000000e-03
1.00000000e-02,9.99392221e-01,5.98334204e-02,1.25000000e-03
1.12500000e-02,9.99207022e-01,5.48475306e-02,1.25000000e-03
1.25000000e-02,9.98997856e-01,4.98696932e-02,1.25000000e-03
1.37500000e-02,9.98764816e-01,4.48999936e-02,1.25000000e-03
1.50000000e-02,9.98507994e-01,3.99385166e-02,1.25000000e-03
1.62500000e-02,9.98227483e-01,3.49853464e-02,1.25000000e-03
1.75000000e-02,9.97923374e-01,3.00405665e-02,1.25000000e-03
1.87500000e-02,9.97595760e-01,2.51042601e-02,1.25000000e-03
2.00000000e-02,9.97244732e-01,2.01765097e-02,1.25000000e-03
2.12500000e-02,9.96870383e-01,1.52573972e-02,1.25000000e-03
2.25000000e-02,9.96472805e-01,1.03470039e-02,1.25000000e-03
2.37500000e-02,9.96052090e-01,5.44541074e-03,1.25000000e-03
2.50000000e-02,9.95608331e-01,5.52697922e-04,1.25000000e-03
2.62500000e-02,9.95141619e-01,-4.33105484e-03,1.25000000e-03
2.75000000e-02,9.94652048e-01,-9.20576841e-03,1.25000000e-03
2.87500000e-02,9.94139708e-01,-1.40713642e-02,1.25000000e-03
3.00000000e-02,9.93604693e-01,-1.89277642e-02,1.25000000e-03
3.12500000e-02,9.93047095e-01,-2.37748908e-02,1.25000000e-03
3.25000000e-02,9.92467006e-01,-2.86126673e-02,1.25000000e-03
3.37500000e-02,9.91864517e-01,-3.34410172e-02,1.25000000e-03
3.50000000e-02,9.91239722e-01,-3.82598646e-02,1.25000000e-03
3.62500000e-02,9.90592713e-01,-4.30691343e-02,1.25000000e-03
3.75000000e-02,9.89923582e-01,-4.78687516e-02,1.25000000e-03
3.87500000e-02,9.89232421e-01,-5.26586423e-02,1.25000000e-03
4.00000000e-02,9.88519322e-01,-5.74387327e-02,1.25000000e-03
4.12500000e-02,9.87784378e-01,-6.22089498e-02,1.25000000e-03
4.25000000e-02,9.87027680e-01,-6.69692209e-02,1.25000000e-03
4.37500000e-02,9.86249322e-01,-7.17194742e-02,1.25000000e-03
4.50000000e-02,9.85449396e-01,-7.64596380e-02,1.25000000e-03
4.62500000e-02,9.84627992e-01,-8.11896416e-02,1.25000000e-03
4.75000000e-02,9.83785205e-01,-8.59094144e-02,1.25000000e-03
4.87500000e-02,9.82921125e-01,-9.06188866e-02,1.25000000e-03
5.00000000e-02,9.82035846e-01,-9.53179890e-02,1.25000000e-03
5.12500000e-02,9.81129458e-01,-1.00006653e-01,1.25000000e-03
5.25000000e-02,9.80202055e-01,-1.04684809e-01,1.25000000e-03
5.37500000e-02,9.79253729e-01,-1.09352391e-01,1.25000000e-03
5.50000000e-02,9.78284571e-01,-1.14009332e-01,1.25000000e-03
5.62500000e-02,9.77294673e-01,-1.18655563e-01,1.25000000e-03
5.75000000e-02,9.76284129e-01,-1.23291020e-01,1.25000000e-03
5.87500000e-02,9.75253029e-01,-1.27915637e-01,1.25000000e-03
6.00000000e-02,9.74201465e-01,-1.32529349e-01,1.25000000e-03
6.12500000e-02,9.73129531e-01,-1.37132090e-01,1.25000000e-03
6.25000000e-02,9.72037317e-01,-1.41723798e-01,1.25000000e-03
6.37500000e-02,9.70924915e-01,-1.46304408e-01,1.25000000e-03
6.50000000e-02,9.69792418e-01,-1.50873858e-01,1.25000000e-03
6.62500000e-02,9.68639917e-01,-1.55432084e-01,1.25000000e-03
6.75000000e-02,9.67467504e-01,-1.59979026e-01,1.25000000e-03
6.87500000e-02,9.66275271e-01,-1.64514621e-01,1.25000000e-03
7.00000000e-02,9.65063310e-01,-1.69038810e-01,1.25000000e-03
7.12500000e-02,9.63831712e-01,-1.73551530e-01,1.25000000e-03
7.25000000e-02,9.62580569e-01,-1.78052723e-01,1.25000000e-03
7.37500000e-02,9.61309972e-01,-1.82542329e-01,1.25000000e-03
7.50000000e-02,9.60020014e-01,-1.87020289e-01,1.25000000e-03
7.62500000e-02,9.58710785e-01,-1.91486545e-01,1.25000000e-03
7.75000000e-02,9.57382378e-01,-1.95941038e-01,1.25000000e-03
7.87500000e-02,9.56034884e-01,-2.00383713e-01,1.25000000e-03
8.00000000e-02,9.54668393e-01,-2.04814511e-01,1.25000000e-03
8.12500000e-02,9.53282998e-01,-2.09233376e-01,1.25000000e-03
8.25000000e-02,9.51878790e-01,-2.13640252e-01,1.25000000e-03
8.37500000e-02,9.50455859e-01,-2.18035085e-01,1.25000000e-03
8.50000000e-02,9.49014298e-01,-2.22417819e-01,1.25000000e-03
8.62500000e-02,9.47554197e-01,-2.26788400e-01,1.25000000e-03
8.75000000e-02,9.46075648e-01,-2.31146774e-01,1.25000000e-03
8.87500000e-02,9.44578741e-01,-2.35492888e-01,1.25000000e-03
9.00000000e-02,9.43063568e-01,-2.39826688e-01,1.25000000e-03
9.12500000e-02,9.41530219e-01,-2.44148123e-01,1.25000000e-03
9.25000000e-02,9.39978786e-01,-2.48457140e-01,1.25000000e-03
9.37500000e-02,9.38409358e-01,-2.52753689e-01,1.25000000e-03
9.50000000e-02,9.36822027e-01,-2.57037718e-01,1.25000000e-03
9.62500000e-02,9.35216884e-01,-2.61309176e-01,1.25000000e-03
9.75000000e-02,9.33594019e-01,-2.65568015e-01,1.25000000e-03
9.87500000e-02,9.31953522e-01,-2.69814183e-01,1.25000000e-03
1.00000000e-01,9.30295484e-01,-2.74047634e-01,1.25000000e-03
1.01250000e-01,9.28619996e-01,-2.78268317e-01,1.25000000e-03
1.02500000e-01,9.26927148e-01,-2.82476185e-01,1.25000000e-03
1.03750000e-01,9.25217029e-01,-2.86671190e-01,1.25000000e-03
1.05000000e-01,9.23489731e-01,-2.90853286e-01,1.25000000e-03
1.06250000e-01,9.21745343e-01,-2.95022425e-01,1.25000000e-03
1.07500000e-01,9.19983956e-01,-2.99178562e-01,1.25000000e-03
1.08750000e-01,9.18205659e-01,-3.03321651e-01,1.25000000e-03
1.10000000e-01,9.16410542e-01,-3.07451647e-01,1.25000000e-03
1.11250000e-01,9.14598695e-01,-3.11568505e-01,1.25000000e-03
1.12500000e-01,9.12770207e-01,-3.15672181e-01,1.25000000e-03
1.13750000e-01,9.10925169e-01,-3.19762631e-01,1.25000000e-03
1.15000000e-01,9.09063670e-01,-3.23839812e-01,1.25000000e-03
1.16250000e-01,9.07185799e-01,-3.27903680e-01,1.25000000e-03
1.17500000e-01,9.05291646e-01,-3.31954194e-01,1.25000000e-03
1.18750000e-01,9.03381299e-01,-3.35991312e-01,1.25000000e-03
1.20000000e-01,9.01454849e-01,-3.40014993e-01,1.25000000e-03
1.21250000e-01,8.99512384e-01,-3.44025194e-01,1.25000000e-03
1.22500000e-01,8.97553993e-01,-3.48021876e-01,1.25000000e-03
1.23750000e-01,8.95579765e-01,-3.52004998e-01,1.25000000e-03
1.25000000e-01,8.93589790e-01,-3.55974522e-01,1.25000000e-03
1.26250000e-01,8.91584155e-01,-3.59930407e-01,1.25000000e-03
1.27500000e-01,8.89562949e-01,-3.63872616e-01,1.25000000e-03
1.28750000e-01,8.87526261e-01,-3.67801109e-01,1.25000000e-03
1.30000000e-01,8.85474179e-01,-3.71715849e-01,1.25000000e-03
1.31250000e-01,8.83406792e-01,-3.75616798e-01,1.25000000e-03
1.32500000e-01,8.81324188e-01,-3.79503920e-01,1.25000000e-03
1.33750000e-01,8.79226455e-01,-3.83377178e-01,1.25000000e-03
1.35000000e-01,8.77113681e-01,-3.87236536e-01,1.25000000e-03
1.36250000e-01,8.74985953e-01,-3.91081959e-01,1.25000000e-03
1.37500000e-01,8.72843361e-01,-3.94913410e-01,1.25000000e-03
1.38750000e-01,8.70685991e-01,-3.98730856e-01,1.25000000e-03
1.40000000e-01,8.68513930e-01,-4.02534262e-01,1.25000000e-03
1.41250000e-01,8.66327268e-01,-4.06323595e-01,1.25000000e-03
1.42500000e-01,8.64126090e-01,-4.10098820e-01,1.25000000e-03
1.43750000e-01,8.61910484e-01,-4.13859904e-01,1.25000000e-03
1.45000000e-01,8.59680537e-01,-4.17606816e-01,1.25000000e-03
1.46250000e-01,8.57436337e-01,-4.21339523e-01,1.25000000e-03
1.47500000e-01,8.55177970e-01,-4.25057993e-01,1.25000000e-03
1.48750000e-01,8.52905523e-01,-4.28762195e-01,1.25000000e-03
1.50000000e-01,8.50619082e-01,-4.32452099e-01,1.25000000e-03
1.51250000e-01,8.48318735e-01,-4.36127672e-01,1.25000000e-03
1.52500000e-01,8.46004568e-01,-4.39788886e-01,1.25000000e-03
1.53750000e-01,8.43676666e-01,-4.43435711e-01,1.25000000e-03
1.55000000e-01,8.41335117e-01,-4.47068118e-01,1.25000000e-03
1.56250000e-01,8.38980005e-01,-4.50686077e-01,1.25000000e-03
1.57500000e-01,8.36611418e-01,-4.54289561e-01,1.25000000e-03
1.58750000e-01,8.34229441e-01,-4.57878541e-01,1.25000000e-03
1.60000000e-01,8.31834160e-01,-4.61452990e-01,1.25000000e-03
1.61250000e-01,8.29425660e-01,-4.65012881e-01,1.25000000e-03
1.62500000e-01,8.27004027e-01,-4.68558186e-01,1.25000000e-03
1.63750000e-01,8.24569345e-01,-4.72088881e-01,1.25000000e-03
1.65000000e-01,8.22121701e-01,-4.75604937e-01,1.25000000e-03
1.66250000e-01,8.19661179e-01,-4.79106331e-01,1.25000000e-03
1.67500000e-01,8.17187864e-01,-4.82593037e-01,1.25000000e-03
1.68750000e-01,8.14701841e-01,-4.86065030e-01,1.25000000e-03
1.70000000e-01,8.12203194e-01,-4.89522286e-01,1.25000000e-03
1.71250000e-01,8.09692009e-01,-4.92964780e-01,1.25000000e-03
1.72500000e-01,8.07168369e-01,-4.96392490e-01,1.25000000e-03
