time,u0,u1,tau
0.00000000e+00,1.00000000e+00,1.00000000e-01,1.00000000e-02
1.00000000e-02,1.00007880e+00,5.95918776e-02,1.00000000e-02
2.00000000e-02,9.98569920e-01,1.96020024e-02,1.00000000e-02
3.00000000e-02,9.95513718e-01,-1.99194388e-02,1.00000000e-02
4.00000000e-02,9.90951421e-01,-5.89244629e-02,1.00000000e-02
5.00000000e-02,9.84925059e-01,-9.73672988e-02,1.00000000e-02
6.00000000e-02,9.77477402e-01,-1.35204392e-01,1.00000000e-02
7.00000000e-02,9.68651880e-01,-1.72394406e-01,1.00000000e-02
8.00000000e-02,9.58492509e-01,-2.08898223e-01,1.00000000e-02
9.00000000e-02,9.47043811e-01,-2.44678931e-01,1.00000000e-02
1.00000000e-01,9.34350727e-01,-2.79701821e-01,1.00000000e-02
1.10000000e-01,9.20458539e-01,-3.13934363e-01,1.00000000e-02
1.20000000e-01,9.05412779e-01,-3.47346190e-01,1.00000000e-02
1.30000000e-01,8.89259147e-01,-3.79909067e-01,1.00000000e-02
1.40000000e-01,8.72043428e-01,-4.11596863e-01,1.00000000e-02
1.50000000e-01,8.53811408e-01,-4.42385511e-01,1.00000000e-02
1.60000000e-01,8.34608794e-01,-4.72252971e-01,1.00000000e-02
1.70000000e-01,8.14481138e-01,-5.01179177e-01,1.00000000e-02
1.80000000e-01,7.93473761e-01,-5.29145994e-01,1.00000000e-02
1.90000000e-01,7.71631684e-01,-5.56137159e-01,1.00000000e-02
2.00000000e-01,7.48999561e-01,-5.82138226e-01,1.00000000e-02
2.10000000e-01,7.25621617e-01,-6.07136505e-01,1.00000000e-02
2.20000000e-01,7.01541591e-01,-6.31120997e-01,1.00000000e-02
2.30000000e-01,6.76802684e-01,-6.54082331e-01,1.00000000e-02
2.40000000e-01,6.51447510e-01,-6.76012699e-01,1.00000000e-02
2.50000000e-01,6.25518057e-01,-6.96905782e-01,1.00000000e-02
2.60000000e-01,5.99055646e-01,-7.16756690e-01,1.00000000e-02
2.70000000e-01,5.72100901e-01,-7.35561885e-01,1.00000000e-02
2.80000000e-01,5.44693721e-01,-7.53319119e-01,1.00000000e-02
2.90000000e-01,5.16873257e-01,-7.70027361e-01,1.00000000e-02
