time,u0,u1,tau
0.00000000e+00,1.00000000e+00,1.00000000e-01,1.00000000e-02
1.00000000e-02,9.79632384e-01,-1.96957939e-02,1.00000000e-02
2.00000000e-02,9.50125671e-01,-1.28094240e-01,1.00000000e-02
3.00000000e-02,9.12871975e-01,-2.26415948e-01,1.00000000e-02
4.00000000e-02,8.69062045e-01,-3.15453786e-01,1.00000000e-02
5.00000000e-02,8.19734871e-01,-3.95772753e-01,1.00000000e-02
6.00000000e-02,7.65810263e-01,-4.67811564e-01,1.00000000e-02
7.00000000e-02,7.08110701e-01,-5.31937684e-01,1.00000000e-02
8.00000000e-02,6.47376500e-01,-5.88478340e-01,1.00000000e-02
9.00000000e-02,5.84276755e-01,-6.37738335e-01,1.00000000e-02
1.00000000e-01,5.19417619e-01,-6.80010288e-01,1.00000000e-02
1.10000000e-01,4.53348853e-01,-7.15580355e-01,1.00000000e-02
1.20000000e-01,3.86569238e-01,-7.44731284e-01,1.00000000e-02
1.30000000e-01,3.19531220e-01,-7.67743830e-01,1.00000000e-02
1.40000000e-01,2.52645006e-01,-7.84897247e-01,1.00000000e-02
1.50000000e-01,1.86282244e-01,-7.96469259e-01,1.00000000e-02
1.60000000e-01,1.20779375e-01,-8.02735766e-01,1.00000000e-02
1.70000000e-01,5.64406662e-02,-8.03970469e-01,1.00000000e-02
1.80000000e-01,-6.45900804e-03,-8.00444491e-01,1.00000000e-02
1.90000000e-01,-6.76716313e-02,-7.92426070e-01,1.00000000e-02
2.00000000e-01,-1.26973802e-01,-7.80180327e-01,1.00000000e-02
2.10000000e-01,-1.84164702e-01,-7.63969129e-01,1.00000000e-02
2.20000000e-01,-2.39064325e-01,-7.44051022e-01,1.00000000e-02
2.30000000e-01,-2.91511945e-01,-7.20681232e-01,1.00000000e-02
2.40000000e-01,-3.41364754e-01,-6.94111711e-01,1.00000000e-02
2.50000000e-01,-3.88496767e-01,-6.64591201e-01,1.00000000e-02
2.60000000e-01,-4.32797859e-01,-6.32365300e-01,1.00000000e-02
2.70000000e-01,-4.74172995e-01,-5.97676498e-01,1.00000000e-02
2.80000000e-01,-5.12541589e-01,-5.60764205e-01,1.00000000e-02
2.90000000e-01,-5.47836984e-01,-5.21864703e-01,1.00000000e-02
3.00000000e-01,-5.80006033e-01,-4.81211049e-01,1.00000000e-02
3.10000000e-01,-6.09008747e-01,-4.39032918e-01,1.00000000e-02
3.20000000e-01,-6.34817986e-01,-3.95556362e-01,1.00000000e-02
3.30000000e-01,-6.57419190e-01,-3.51003536e-01,1.00000000e-02
3.40000000e-01,-6.76810112e-01,-3.05592327e-01,1.00000000e-02
3.50000000e-01,-6.93000529e-01,-2.59535937e-01,1.00000000e-02
3.60000000e-01,-7.06011955e-01,-2.13042435e-01,1.00000000e-02
3.70000000e-01,-7.15877280e-01,-1.66314256e-01,1.00000000e-02
3.80000000e-01,-7.22640401e-01,-1.19547681e-01,1.00000000e-02
3.90000000e-01,-7.26355762e-01,-7.29323211e-02,1.00000000e-02
4.00000000e-01,-7.27087863e-01,-2.66505942e-02,1.00000000e-02
4.10000000e-01,-7.24910702e-01,1.91227736e-02,1.00000000e-02
4.20000000e-01,-7.19907157e-01,6.42212215e-02,1.00000000e-02
4.30000000e-01,-7.12168330e-01,1.08486775e-01,1.00000000e-02
4.40000000e-01,-7.01792831e-01,1.51770415e-01,1.00000000e-02
4.50000000e-01,-6.88886044e-01,1.93932393e-01,1.00000000e-02
4.60000000e-01,-6.73559349e-01,2.34842473e-01,1.00000000e-02
4.70000000e-01,-6.55929351e-01,2.74380088e-01,1.00000000e-02
4.80000000e-01,-6.36117081e-01,3.12434444e-01,1.00000000e-02
4.90000000e-01,-6.14247221e-01,3.48904543e-01,1.00000000e-02
5.00000000e-01,-5.90447344e-01,3.83699124e-01,1.00000000e-02
5.10000000e-01,-5.64847168e-01,4.16736537e-01,1.00000000e-02
5.20000000e-01,-5.37577866e-01,4.47944571e-01,1.00000000e-02
5.30000000e-01,-5.08771402e-01,4.77260206e-01,1.00000000e-02
5.40000000e-01,-4.78559923e-01,5.04629322e-01,1.00000000e-02
5.50000000e-01,-4.47075204e-01,5.30006371e-01,1.00000000e-02
5.60000000e-01,-4.14448145e-01,5.53354016e-01,1.00000000e-02
5.70000000e-01,-3.80808333e-01,5.74642743e-01,1.00000000e-02
5.80000000e-01,-3.46283658e-01,5.93850460e-01,1.00000000e-02
5.90000000e-01,-3.10999984e-01,6.10962083e-01,1.00000000e-02
6.00000000e-01,-2.75080876e-01,6.25969142e-01,1.00000000e-02
6.10000000e-01,-2.38647384e-01,6.38869368e-01,1.00000000e-02
6.20000000e-01,-2.01817854e-01,6.49666307e-01,1.00000000e-02
6.30000000e-01,-1.64707806e-01,6.58368958e-01,1.00000000e-02
6.40000000e-01,-1.27429830e-01,6.64991417e-01,1.00000000e-02
6.50000000e-01,-9.00935255e-02,6.69552558e-01,1.00000000e-02
6.60000000e-01,-5.28054623e-02,6.72075738e-01,1.00000000e-02
6.70000000e-01,-1.56691512e-02,6.72588529e-01,1.00000000e-02
6.80000000e-01,2.12149610e-02,6.71122480e-01,1.00000000e-02
6.90000000e-01,5.77494795e-02,6.67712904e-01,1.00000000e-02
7.00000000e-01,9.38400704e-02,6.62398696e-01,1.00000000e-02
7.10000000e-01,1.29395439e-01,6.55222173e-01,1.00000000e-02
7.20000000e-01,1.64327343e-01,6.46228934e-01,1.00000000e-02
7.30000000e-01,1.98550590e-01,6.35467745e-01,1.00000000e-02
7.40000000e-01,2.31983059e-01,6.22990430e-01,1.00000000e-02
7.50000000e-01,2.64545724e-01,6.08851787e-01,1.00000000e-02
7.60000000e-01,2.96162704e-01,5.93109501e-01,1.00000000e-02
7.70000000e-01,3.26761313e-01,5.75824068e-01,1.00000000e-02
7.80000000e-01,3.56272143e-01,5.57058717e-01,1.00000000e-02
7.90000000e-01,3.84629144e-01,5.36879327e-01,1.00000000e-02
8.00000000e-01,4.11769722e-01,5.15354348e-01,1.00000000e-02
8.10000000e-01,4.37634858e-01,4.92554693e-01,1.00000000e-02
8.20000000e-01,4.62169228e-01,4.68553634e-01,1.00000000e-02
8.30000000e-01,4.85321326e-01,4.43426679e-01,1.00000000e-02
8.40000000e-01,5.07043603e-01,4.17251432e-01,1.00000000e-02
8.50000000e-01,5.27292595e-01,3.90107426e-01,1.00000000e-02
8.60000000e-01,5.46029059e-01,3.62075944e-01,1.00000000e-02
8.70000000e-01,5.63218090e-01,3.33239832e-01,1.00000000e-02
8.80000000e-01,5.78829243e-01,3.03683266e-01,1.00000000e-02
8.90000000e-01,5.92836634e-01,2.73491526e-01,1.00000000e-02
9.00000000e-01,6.05219023e-01,2.42750737e-01,1.00000000e-02
