time,u0,u1
0.000000e+00,1.000000e+00,1.000000e-01
1.000000e-03,9.991844e-01,9.180639e-02
2.000000e-03,9.983168e-01,8.365974e-02
3.000000e-03,9.973979e-01,7.555976e-02
4.000000e-03,9.964283e-01,6.750617e-02
5.000000e-03,9.954084e-01,5.949866e-02
6.000000e-03,9.943389e-01,5.153699e-02
7.000000e-03,9.932203e-01,4.362087e-02
8.000000e-03,9.920532e-01,3.575006e-02
9.000000e-03,9.908381e-01,2.792431e-02
1.000000e-02,9.895755e-01,2.014338e-02
1.100000e-02,9.882659e-01,1.240704e-02
1.200000e-02,9.869099e-01,4.715060e-03
1.300000e-02,9.855080e-01,-2.932775e-03
1.400000e-02,9.840607e-01,-1.053668e-02
1.500000e-02,9.825684e-01,-1.809685e-02
1.600000e-02,9.810318e-01,-2.561350e-02
1.700000e-02,9.794511e-01,-3.308682e-02
1.800000e-02,9.778270e-01,-4.051700e-02
1.900000e-02,9.761600e-01,-4.790422e-02
2.000000e-02,9.744504e-01,-5.524866e-02
2.100000e-02,9.726987e-01,-6.255049e-02
2.200000e-02,9.709055e-01,-6.980990e-02
2.300000e-02,9.690711e-01,-7.702703e-02
2.400000e-02,9.671960e-01,-8.420206e-02
2.500000e-02,9.652806e-01,-9.133514e-02
2.600000e-02,9.633254e-01,-9.842642e-02
2.700000e-02,9.613309e-01,-1.054761e-01
2.800000e-02,9.592974e-01,-1.124842e-01
2.900000e-02,9.572253e-01,-1.194510e-01
3.000000e-02,9.551152e-01,-1.263766e-01
3.100000e-02,9.529674e-01,-1.332611e-01
3.200000e-02,9.507823e-01,-1.401046e-01
3.300000e-02,9.485603e-01,-1.469074e-01
3.400000e-02,9.463018e-01,-1.536694e-01
3.500000e-02,9.440073e-01,-1.603909e-01
3.600000e-02,9.416771e-01,-1.670720e-01
3.700000e-02,9.393116e-01,-1.737128e-01
3.800000e-02,9.369112e-01,-1.803134e-01
3.900000e-02,9.344763e-01,-1.868739e-01
4.000000e-02,9.320073e-01,-1.933944e-01
4.100000e-02,9.295046e-01,-1.998751e-01
4.200000e-02,9.269684e-01,-2.063161e-01
4.300000e-02,9.243993e-01,-2.127174e-01
4.400000e-02,9.217975e-01,-2.190792e-01
4.500000e-02,9.191635e-01,-2.254017e-01
4.600000e-02,9.164975e-01,-2.316848e-01
4.700000e-02,9.138000e-01,-2.379287e-01
4.800000e-02,9.110713e-01,-2.441335e-01
4.900000e-02,9.083117e-01,-2.502993e-01
5.000000e-02,9.055216e-01,-2.564262e-01
5.100000e-02,9.027014e-01,-2.625143e-01
5.200000e-02,8.998514e-01,-2.685637e-01
5.300000e-02,8.969719e-01,-2.745745e-01
5.400000e-02,8.940632e-01,-2.805468e-01
5.500000e-02,8.911258e-01,-2.864806e-01
5.600000e-02,8.881598e-01,-2.923761e-01
5.700000e-02,8.851658e-01,-2.982334e-01
5.800000e-02,8.821439e-01,-3.040525e-01
5.900000e-02,8.790945e-01,-3.098335e-01
6.000000e-02,8.760180e-01,-3.155766e-01
6.100000e-02,8.729146e-01,-3.212818e-01
6.200000e-02,8.697846e-01,-3.269492e-01
6.300000e-02,8.666285e-01,-3.325789e-01
6.400000e-02,8.634464e-01,-3.381710e-01
6.500000e-02,8.602387e-01,-3.437255e-01
6.600000e-02,8.570057e-01,-3.492426e-01
6.700000e-02,8.537477e-01,-3.547223e-01
6.800000e-02,8.504650e-01,-3.601647e-01
6.900000e-02,8.471579e-01,-3.655699e-01
7.000000e-02,8.438267e-01,-3.709380e-01
7.100000e-02,8.404717e-01,-3.762690e-01
7.200000e-02,8.370932e-01,-3.815631e-01
7.300000e-02,8.336914e-01,-3.868203e-01
7.400000e-02,8.302667e-01,-3.920408e-01
7.500000e-02,8.268194e-01,-3.972245e-01
7.600000e-02,8.233497e-01,-4.023716e-01
7.700000e-02,8.198579e-01,-4.074821e-01
7.800000e-02,8.163443e-01,-4.125562e-01
7.900000e-02,8.128091e-01,-4.175938e-01
8.000000e-02,8.092527e-01,-4.225952e-01
8.100000e-02,8.056754e-01,-4.275603e-01
8.200000e-02,8.020773e-01,-4.324892e-01
8.300000e-02,7.984587e-01,-4.373821e-01
8.400000e-02,7.948200e-01,-4.422390e-01
