time,u0,u1,tau
0.000000000000000000000000000000000000000000000000e+00,-7.000000000000000666133814775093924254179000854492e-02,5.999999999999999777955395074968691915273666381836e-02,1.000000000000000020816681711721685132943093776703e-02
1.000000000000000020816681711721685132943093776703e-02,-6.995549498889941375523449096363037824630737304688e-02,5.999591159639934556668805498702568002045154571533e-02,1.000000000000000020816681711721685132943093776703e-02
2.000000000000000041633363423443370265886187553406e-02,-6.991078418163958196895890750965918414294719696045e-02,5.999203206571997876173085728623846080154180526733e-02,1.000000000000000020816681711721685132943093776703e-02
2.999999999999999888977697537484345957636833190918e-02,-6.986586745168514578363527789406361989676952362061e-02,5.998836141504611252361911510888603515923023223877e-02,1.000000000000000020816681711721685132943093776703e-02
4.000000000000000083266726846886740531772375106812e-02,-6.982074467163937314673205491999397054314613342285e-02,5.998489965267243817503839409255306236445903778076e-02,1.000000000000000020816681711721685132943093776703e-02
5.000000000000000277555756156289135105907917022705e-02,-6.977541571324148705901535549855907447636127471924e-02,5.998164678810609384829177770370733924210071563721e-02,1.000000000000000020816681711721685132943093776703e-02
6.000000000000000471844785465691529680043458938599e-02,-6.972988044736394552813862901530228555202484130859e-02,5.997860283206866288674419251947256270796060562134e-02,1.000000000000000020816681711721685132943093776703e-02
7.000000000000000666133814775093924254179000854492e-02,-6.968413874400974927780794132559094578027725219727e-02,5.997576779649811673511550225157407112419605255127e-02,1.000000000000000020816681711721685132943093776703e-02
8.000000000000000166533453693773481063544750213623e-02,-6.963819047230973557915945093554910272359848022461e-02,5.997314169455074395198579395582783035933971405029e-02,1.000000000000000020816681711721685132943093776703e-02
8.999999999999999666933092612453037872910499572754e-02,-6.959203550051996922665153988418751396238803863525e-02,5.997072454060305840561895251994428690522909164429e-02,1.000000000000000020816681711721685132943093776703e-02
9.999999999999999167332731531132594682276248931885e-02,-6.954567369601903636944228992433636449277400970459e-02,5.996851635025370053089233124410384334623813629150e-02,1.000000000000000020816681711721685132943093776703e-02
1.099999999999999866773237044981215149164199829102e-01,-6.949910492530542160949380559031851589679718017578e-02,5.996651714032528307507519116370531264692544937134e-02,1.000000000000000020816681711721685132943093776703e-02
1.199999999999999816813200936849170830100774765015e-01,-6.945232905399488509967653726562275551259517669678e-02,5.996472692886624378250104427934275008738040924072e-02,1.000000000000000020816681711721685132943093776703e-02
1.299999999999999766853164828717126511037349700928e-01,-6.940534594681783964187360425057704560458660125732e-02,5.996314573515267032366438115786877460777759552002e-02,1.000000000000000020816681711721685132943093776703e-02
1.399999999999999855671006798729649744927883148193e-01,-6.935815546761675554066073345893528312444686889648e-02,5.996177357969007665206007118285924661904573440552e-02,1.000000000000000020816681711721685132943093776703e-02
1.499999999999999944488848768742172978818416595459e-01,-6.931075747934353770141058248555054888129234313965e-02,5.996061048421520711659837843399145640432834625244e-02,1.000000000000000020816681711721685132943093776703e-02
1.600000000000000033306690738754696212708950042725e-01,-6.926315184405698599512390956078888848423957824707e-02,5.995965647169776424618703458691015839576721191406e-02,1.000000000000000020816681711721685132943093776703e-02
1.700000000000000122124532708767219446599483489990e-01,-6.921533842292020011210951224711607210338115692139e-02,5.995891156634216428988892744200711604207754135132e-02,1.000000000000000020816681711721685132943093776703e-02
1.800000000000000210942374678779742680490016937256e-01,-6.916731707619803992681539739351137541234493255615e-02,5.995837579358923030703465428814524784684181213379e-02,1.000000000000000020816681711721685132943093776703e-02
1.900000000000000299760216648792265914380550384521e-01,-6.911908766325458586265995108988136053085327148438e-02,5.995804918011788525733507526638277340680360794067e-02,1.000000000000000020816681711721685132943093776703e-02
2.000000000000000388578058618804789148271083831787e-01,-6.907065004255057150128749299256014637649059295654e-02,5.995793175384681039652434719755547121167182922363e-02,1.000000000000000020816681711721685132943093776703e-02
2.100000000000000477395900588817312382161617279053e-01,-6.902200407164089945855067753655021078884601593018e-02,5.995802354393609673310905350263055879622697830200e-02,1.000000000000000020816681711721685132943093776703e-02
2.200000000000000566213742558829835616052150726318e-01,-6.897314960717212950491727951884968206286430358887e-02,5.995832458078885485175391067969030700623989105225e-02,1.000000000000000020816681711721685132943093776703e-02
2.300000000000000655031584528842358849942684173584e-01,-6.892408650487995280808917186732287518680095672607e-02,5.995883489605282473666747478091565426439046859741e-02,1.000000000000000020816681711721685132943093776703e-02
2.400000000000000743849426498854882083833217620850e-01,-6.887481461958673556456034248185460455715656280518e-02,5.995955452262194396162442444619955494999885559082e-02,1.000000000000000020816681711721685132943093776703e-02
2.500000000000000555111512312578270211815834045410e-01,-6.882533380519903487559929544659098610281944274902e-02,5.996048349463789506330613221507519483566284179688e-02,1.000000000000000020816681711721685132943093776703e-02
2.600000000000000643929354282590793445706367492676e-01,-6.877564391470511462323145224218023940920829772949e-02,5.996162184749164597574733193141582887619733810425e-02,1.000000000000000020816681711721685132943093776703e-02
2.700000000000000732747196252603316679596900939941e-01,-6.872574480017250297958497640138375572860240936279e-02,5.996296961782494883141936270476435311138629913330e-02,1.000000000000000020816681711721685132943093776703e-02
2.800000000000000821565038222615839913487434387207e-01,-6.867563631274557767181221379360067658126354217529e-02,5.996452684353183876231341287166287656873464584351e-02,1.000000000000000020816681711721685132943093776703e-02
2.900000000000000910382880192628363147377967834473e-01,-6.862531830264309573585990165156545117497444152832e-02,5.996629356376008412876643660638364963233470916748e-02,1.000000000000000020816681711721685132943093776703e-02
3.000000000000000999200722162640886381268501281738e-01,-6.857479061915576490360280104141565971076488494873e-02,5.996826981891262287049926271720323711633682250977e-02,1.000000000000000020816681711721685132943093776703e-02
3.100000000000001088018564132653409615159034729004e-01,-6.852405311064388437891636840504361316561698913574e-02,5.997045565064899191876079953544831369072198867798e-02,1.000000000000000020816681711721685132943093776703e-02
3.200000000000001176836406102665932849049568176270e-01,-6.847310562453488846923477240125066600739955902100e-02,5.997285110188672191400272026839957106858491897583e-02,1.000000000000000020816681711721685132943093776703e-02
3.300000000000001265654248072678456082940101623535e-01,-6.842194800732100123941137326255557127296924591064e-02,5.997545621680269722908462881605373695492744445801e-02,1.000000000000000020816681711721685132943093776703e-02
3.400000000000001354472090042690979316830635070801e-01,-6.837058010455679402106454745080554857850074768066e-02,5.997827104083450905358532168065721634775400161743e-02,1.000000000000000020816681711721685132943093776703e-02
3.500000000000001443289932012703502550721168518066e-01,-6.831900176085689557758939827181166037917137145996e-02,5.998129562068179460032624206178297754377126693726e-02,1.000000000000000020816681711721685132943093776703e-02
3.600000000000001532107773982716025784611701965332e-01,-6.826721281989354961350358053095987997949123382568e-02,5.998453000430752773963760660080879461020231246948e-02,1.000000000000000020816681711721685132943093776703e-02
3.700000000000001620925615952728549018502235412598e-01,-6.821521312439433881724681896230322308838367462158e-02,5.998797424093928881694282040371035691350698471069e-02,1.000000000000000020816681711721685132943093776703e-02
