time,u0,u1,tau
0.000000000000000000000000000000000000000000000000e+00,4.999999999999998889776975374843459576368331909180e-02,0.000000000000000000000000000000000000000000000000e+00,1.000000000000000020816681711721685132943093776703e-02
1.000000000000000020816681711721685132943093776703e-02,4.999999993437499040682681084035721141844987869263e-02,1.500001861640694103268260650718701754158246330917e-05,1.000000000000000020816681711721685132943093776703e-02
2.000000000000000041633363423443370265886187553406e-02,5.000000745313454286744558885402511805295944213867e-02,3.000014885912444313645179583271982437508995644748e-05,1.000000000000000020816681711721685132943093776703e-02
2.999999999999999888977697537484345957636833190918e-02,5.000002266883635249072881379106547683477401733398e-02,4.500050308689595003706213072192099389212671667337e-05,1.000000000000000020816681711721685132943093776703e-02
4.000000000000000083266726846886740531772375106812e-02,5.000004569409660648560134177387226372957229614258e-02,6.000119367021384197361660861602672412118408828974e-05,1.000000000000000020816681711721685132943093776703e-02
5.000000000000000277555756156289135105907917022705e-02,5.000007664159028530903583487088326364755630493164e-02,7.500233299157456541041144593151557273813523352146e-05,1.000000000000000020816681711721685132943093776703e-02
6.000000000000000471844785465691529680043458938599e-02,5.000011562405146797738453301462868694216012954712e-02,9.000403344573374580812191725343041071027982980013e-05,1.000000000000000020816681711721685132943093776703e-02
7.000000000000000666133814775093924254179000854492e-02,5.000016275427365125549883373423654120415449142456e-02,1.050064074399613037831199835459017322136787697673e-04,1.000000000000000020816681711721685132943093776703e-02
8.000000000000000166533453693773481063544750213623e-02,5.000021814511006190695496798070962540805339813232e-02,1.200095673942964865634971949326370577182387933135e-04,1.000000000000000020816681711721685132943093776703e-02
8.999999999999999666933092612453037872910499572754e-02,5.000028190947396894427967595220252405852079391479e-02,1.350136257418028181299246570645777865138370543718e-04,1.000000000000000020816681711721685132943093776703e-02
9.999999999999999167332731531132594682276248931885e-02,5.000035416033900975696369073375535663217306137085e-02,1.500186949288229002787142807306963732116855680943e-04,1.000000000000000020816681711721685132943093776703e-02
1.099999999999999866773237044981215149164199829102e-01,5.000043501073947460611179849365726113319396972656e-02,1.650248874152330917121356268495446784072555601597e-04,1.000000000000000020816681711721685132943093776703e-02
1.199999999999999816813200936849170830100774765015e-01,5.000052457377065356913803384486527647823095321655e-02,1.800323156746978889731353179470829672936815768480e-04,1.000000000000000020816681711721685132943093776703e-02
1.299999999999999766853164828717126511037349700928e-01,5.000062296258913491220354785582458134740591049194e-02,1.950410921949241583022577328776492322504054754972e-04,1.000000000000000020816681711721685132943093776703e-02
1.399999999999999855671006798729649744927883148193e-01,5.000073029041311040154837996851711068302392959595e-02,2.100513294779150015763324876871820379165001213551e-04,1.000000000000000020816681711721685132943093776703e-02
1.499999999999999944488848768742172978818416595459e-01,5.000084667052271530929274945265206042677164077759e-02,2.250631400402234054067274193755565647734329104424e-04,1.000000000000000020816681711721685132943093776703e-02
1.600000000000000033306690738754696212708950042725e-01,5.000097221626031290808711560202937107533216476440e-02,2.400766364132054565567325754571470497467089444399e-04,1.000000000000000020816681711721685132943093776703e-02
1.700000000000000122124532708767219446599483489990e-01,5.000110704103084141580737309595861006528139114380e-02,2.550919311432732592033467700076698747579939663410e-04,1.000000000000000020816681711721685132943093776703e-02
1.800000000000000210942374678779742680490016937256e-01,5.000125125830209849020491219562245532870292663574e-02,2.701091367921473100979778969588096515508368611336e-04,1.000000000000000020816681711721685132943093776703e-02
1.900000000000000299760216648792265914380550384521e-01,5.000140498160506735692010238381044473499059677124e-02,2.851283659371084671513285613286825537215918302536e-04,1.000000000000000020816681711721685132943093776703e-02
2.000000000000000388578058618804789148271083831787e-01,5.000156832453424293749577600465272553265094757080e-02,3.001497311712495114424670283881368959555402398109e-04,1.000000000000000020816681711721685132943093776703e-02
2.100000000000000477395900588817312382161617279053e-01,5.000174140074793022181509627444029320031404495239e-02,3.151733451037260587065946815243933087913319468498e-04,1.000000000000000020816681711721685132943093776703e-02
2.200000000000000566213742558829835616052150726318e-01,5.000192432396855651832723310690198559314012527466e-02,3.301993203600069016166729252148570594727061688900e-04,1.000000000000000020816681711721685132943093776703e-02
2.300000000000000655031584528842358849942684173584e-01,5.000211720798300452095475066016661003232002258301e-02,3.452277695821238641740724695239350694464519619942e-04,1.000000000000000020816681711721685132943093776703e-02
2.400000000000000743849426498854882083833217620850e-01,5.000232016664291068153147534758318215608596801758e-02,3.602588054289208429475932504715274262707680463791e-04,1.000000000000000020816681711721685132943093776703e-02
2.500000000000000555111512312578270211815834045410e-01,5.000253331386497746002817166299792006611824035645e-02,3.752925405763024146316153561997452925425022840500e-04,1.000000000000000020816681711721685132943093776703e-02
2.600000000000000643929354282590793445706367492676e-01,5.000275676363129251367212191325961612164974212646e-02,3.903290877174814136121860919104165077442303299904e-04,1.000000000000000020816681711721685132943093776703e-02
2.700000000000000732747196252603316679596900939941e-01,5.000299062998963400827889813626825343817472457886e-02,4.053685595632260758522380506008175871102139353752e-04,1.000000000000000020816681711721685132943093776703e-02
2.800000000000000821565038222615839913487434387207e-01,5.000323502705380368515974964793713297694921493530e-02,4.204110688421060985746346982949717130395583808422e-04,1.000000000000000020816681711721685132943093776703e-02
2.900000000000000910382880192628363147377967834473e-01,5.000349006900391135577166323855635710060596466064e-02,4.354567283007382120542383407979514231556095182896e-04,1.000000000000000020816681711721685132943093776703e-02
3.000000000000000999200722162640886381268501281738e-01,5.000375587008669409083694290529820136725902557373e-02,4.505056507040305045774797321200821897946298122406e-04,1.000000000000000020816681711721685132943093776703e-02
3.100000000000001088018564132653409615159034729004e-01,5.000403254461584928725059739917924162000417709351e-02,4.655579488354261510907328158737072953954339027405e-04,1.000000000000000020816681711721685132943093776703e-02
3.200000000000001176836406102665932849049568176270e-01,5.000432020697231916273040042142383754253387451172e-02,4.806137354971461118566256054407404008088633418083e-04,1.000000000000000020816681711721685132943093776703e-02
3.300000000000001265654248072678456082940101623535e-01,5.000461897160460300604256644874112680554389953613e-02,4.956731235104309095385044514614492072723805904388e-04,1.000000000000000020816681711721685132943093776703e-02
3.400000000000001354472090042690979316830635070801e-01,5.000492895302908330501523437305877450853586196899e-02,5.107362257157811594523999509931400098139420151711e-04,1.000000000000000020816681711721685132943093776703e-02
3.500000000000001443289932012703502550721168518066e-01,5.000525026583032411897633551234321203082799911499e-02,5.258031549731975035077979896414035465568304061890e-04,1.000000000000000020816681711721685132943093776703e-02
3.600000000000001532107773982716025784611701965332e-01,5.000558302466137639008536552864825353026390075684e-02,5.408740241624189178451520554347098368452861905098e-04,1.000000000000000020816681711721685132943093776703e-02
3.700000000000001620925615952728549018502235412598e-01,5.000592734424409713245296416062046773731708526611e-02,5.559489461831604783723093099467860156437382102013e-04,1.000000000000000020816681711721685132943093776703e-02
3.800000000000001709743457922741072252392768859863e-01,5.000628333936943392679097541986266151070594787598e-02,5.710280339553494999976779311623431567568331956863e-04,1.000000000000000020816681711721685132943093776703e-02
3.900000000000001798561299892753595486283302307129e-01,5.000665112489776492621373904512438457459211349487e-02,5.861114004193605916612219708383690885966643691063e-04,1.000000000000000020816681711721685132943093776703e-02
4.000000000000001887379141862766118720173835754395e-01,5.000703081575916947310034288420865777879953384399e-02,6.011991585362498440037182234618740039877593517303e-04,1.000000000000000020816681711721685132943093776703e-02
4.100000000000001976196983832778641954064369201660e-01,5.000742252695375422710810653370572254061698913574e-02,6.162914212879870654721026212996548565570265054703e-04,1.000000000000000020816681711721685132943093776703e-02
4.200000000000002065014825802791165187954902648926e-01,5.000782637355195847650435325704165734350681304932e-02,6.313883016776876931641648837967295548878610134125e-04,1.000000000000000020816681711721685132943093776703e-02
