time,u0,u1,tau
0.000000000000000000000000000000000000000000000000e+00,2.000000000000000041633363423443370265886187553406e-02,7.999999999999998778754672912327805534005165100098e-02,1.000000000000000020816681711721685132943093776703e-02
1.000000000000000020816681711721685132943093776703e-02,2.005391349280635782115211895870743319392204284668e-02,8.000270893931275828503402181013370864093303680420e-02,1.000000000000000020816681711721685132943093776703e-02
2.000000000000000041633363423443370265886187553406e-02,2.010813714710334848545514319084759335964918136597e-02,8.000572269952926918179514359508175402879714965820e-02,1.000000000000000020816681711721685132943093776703e-02
2.999999999999999888977697537484345957636833190918e-02,2.016267140358193529769970098186604445800185203552e-02,8.000904127653080122328788093000184744596481323242e-02,1.000000000000000020816681711721685132943093776703e-02
4.000000000000000083266726846886740531772375106812e-02,2.021751670500256115037274184942361898720264434814e-02,8.001266466717214809190039659370086155831813812256e-02,1.000000000000000020816681711721685132943093776703e-02
5.000000000000000277555756156289135105907917022705e-02,2.027267349620539421684028980052971746772527694702e-02,8.001659286927388647914227703950018621981143951416e-02,1.000000000000000020816681711721685132943093776703e-02
6.000000000000000471844785465691529680043458938599e-02,2.032814222412054547262094672532839467748999595642e-02,8.002082588161457676889654067053925246000289916992e-02,1.000000000000000020816681711721685132943093776703e-02
7.000000000000000666133814775093924254179000854492e-02,2.038392333777826193053073211558512412011623382568e-02,8.002536370392292208730822267170879058539867401123e-02,1.000000000000000020816681711721685132943093776703e-02
8.000000000000000166533453693773481063544750213623e-02,2.044001728831911640638097082955937366932630538940e-02,8.003020633686971918585584262473275884985923767090e-02,1.000000000000000020816681711721685132943093776703e-02
8.999999999999999666933092612453037872910499572754e-02,2.049642452900415912075970936712110415101051330566e-02,8.003535378205983707999848775216378271579742431641e-02,1.000000000000000020816681711721685132943093776703e-02
9.999999999999999167332731531132594682276248931885e-02,2.055314551522506236191922823763889027759432792664e-02,8.004080604202404303215701020235428586602210998535e-02,1.000000000000000020816681711721685132943093776703e-02
1.099999999999999866773237044981215149164199829102e-01,2.061018070451423739308793869895453099161386489868e-02,8.004656312021077302354399307660060003399848937988e-02,1.000000000000000020816681711721685132943093776703e-02
1.199999999999999816813200936849170830100774765015e-01,2.066753055655494442088837558912928216159343719482e-02,8.005262502097773569254002268280601128935813903809e-02,1.000000000000000020816681711721685132943093776703e-02
1.299999999999999766853164828717126511037349700928e-01,2.072519553319136439983871866843401221558451652527e-02,8.005899174958353015085776860360056161880493164062e-02,1.000000000000000020816681711721685132943093776703e-02
1.399999999999999855671006798729649744927883148193e-01,2.078317609843867430630126591495354659855365753174e-02,8.006566331217908338846456217652303166687488555908e-02,1.000000000000000020816681711721685132943093776703e-02
1.499999999999999944488848768742172978818416595459e-01,2.084147271849308424851443533043493516743183135986e-02,8.007263971579901828956593590191914699971675872803e-02,1.000000000000000020816681711721685132943093776703e-02
1.600000000000000033306690738754696212708950042725e-01,2.090008586174186763773086283890734193846583366394e-02,8.007992096835295225965012377855600789189338684082e-02,1.000000000000000020816681711721685132943093776703e-02
1.700000000000000122124532708767219446599483489990e-01,2.095901599877337054267378846361680189147591590881e-02,8.008750707861667095244229130912572145462036132812e-02,1.000000000000000020816681711721685132943093776703e-02
1.800000000000000210942374678779742680490016937256e-01,2.101826360238700022731173078227584483101963996887e-02,8.009539805622321873013191861900850199162960052490e-02,1.000000000000000020816681711721685132943093776703e-02
1.900000000000000299760216648792265914380550384521e-01,2.107782914760319634139840161424217512831091880798e-02,8.010359391165386422350991324492497369647026062012e-02,1.000000000000000020816681711721685132943093776703e-02
2.000000000000000388578058618804789148271083831787e-01,2.113771311167339170267176484685478499159216880798e-02,8.011209465622901038095449166576145216822624206543e-02,1.000000000000000020816681711721685132943093776703e-02
2.100000000000000477395900588817312382161617279053e-01,2.119791597408993838458357572562817949801683425903e-02,8.012090030209897961732679050328442826867103576660e-02,1.000000000000000020816681711721685132943093776703e-02
2.200000000000000566213742558829835616052150726318e-01,2.125843821659603380402892014444660162553191184998e-02,8.013001086223468794056401520720100961625576019287e-02,1.000000000000000020816681711721685132943093776703e-02
