time,u0,u1,tau
0.000000000000000000000000000000000000000000000000e+00,0.000000000000000000000000000000000000000000000000e+00,-1.499999999999999944488848768742172978818416595459e-01,1.000000000000000020816681711721685132943093776703e-02
1.000000000000000020816681711721685132943093776703e-02,-1.952813214019848359406794635617643507430329918861e-04,-1.500002626031617380952809526206692680716514587402e-01,1.000000000000000020816681711721685132943093776703e-02
2.000000000000000041633363423443370265886187553406e-02,-3.911264055605600110758490739470971675473265349865e-04,-1.500009900648271998768734647455858066678047180176e-01,1.000000000000000020816681711721685132943093776703e-02
2.999999999999999888977697537484345957636833190918e-02,-5.875371568399058181536576128678461827803403139114e-04,-1.500021820992087639989875924584339372813701629639e-01,1.000000000000000020816681711721685132943093776703e-02
4.000000000000000083266726846886740531772375106812e-02,-7.845154844822539632470670412089930323418229818344e-04,-1.500038384161543059125420995769673027098178863525e-01,1.000000000000000020816681711721685132943093776703e-02
5.000000000000000277555756156289135105907917022705e-02,-9.820633026514078746382896412114860140718519687653e-04,-1.500059587210920419853010798760806210339069366455e-01,1.000000000000000020816681711721685132943093776703e-02
6.000000000000000471844785465691529680043458938599e-02,-1.180182530476177847622576422281781560741364955902e-03,-1.500085427149749073283402367451344616711139678955e-01,1.000000000000000020816681711721685132943093776703e-02
7.000000000000000666133814775093924254179000854492e-02,-1.378875092093732705744724142959967139177024364471e-03,-1.500115900942240731996690783489611931145191192627e-01,1.000000000000000020816681711721685132943093776703e-02
8.000000000000000166533453693773481063544750213623e-02,-1.578142916692864237970805874056168249808251857758e-03,-1.500151005506719092963408002106007188558578491211e-01,1.000000000000000020816681711721685132943093776703e-02
8.999999999999999666933092612453037872910499572754e-02,-1.777987938557164466005233727230461227009072899818e-03,-1.500190737715040856237180832977173849940299987793e-01,1.000000000000000020816681711721685132943093776703e-02
9.999999999999999167332731531132594682276248931885e-02,-1.978412097108112489146636292502989817876368761063e-03,-1.500235094392011470088021951596601866185665130615e-01,1.000000000000000020816681711721685132943093776703e-02
1.099999999999999866773237044981215149164199829102e-01,-2.179417336948072207725157767299606348387897014618e-03,-1.500284072314792827018692378260311670601367950439e-01,1.000000000000000020816681711721685132943093776703e-02
1.199999999999999816813200936849170830100774765015e-01,-2.381005607903195504110316349510867439676076173782e-03,-1.500337668212303465775647737245890311896800994873e-01,1.000000000000000020816681711721685132943093776703e-02
1.299999999999999766853164828717126511037349700928e-01,-2.583178865066233266534201362674139090813696384430e-03,-1.500395878764612944689105233919690363109111785889e-01,1.000000000000000020816681711721685132943093776703e-02
1.399999999999999855671006798729649744927883148193e-01,-2.785939068839249702080884674160188296809792518616e-03,-1.500458700602327610784669786880840547382831573486e-01,1.000000000000000020816681711721685132943093776703e-02
1.499999999999999944488848768742172978818416595459e-01,-2.989288184976240155682480903465148003306239843369e-03,-1.500526130305969707556812409166013821959495544434e-01,1.000000000000000020816681711721685132943093776703e-02
1.600000000000000033306690738754696212708950042725e-01,-3.193228184625648315153600975691006169654428958893e-03,-1.500598164405348988736932369647547602653503417969e-01,1.000000000000000020816681711721685132943093776703e-02
1.700000000000000122124532708767219446599483489990e-01,-3.397761044372783669625937008618166146334260702133e-03,-1.500674799378927115611759290914051234722137451172e-01,1.000000000000000020816681711721685132943093776703e-02
1.800000000000000210942374678779742680490016937256e-01,-3.602888746282137052978633562361210351809859275818e-03,-1.500756031653174282780582871055230498313903808594e-01,1.000000000000000020816681711721685132943093776703e-02
1.900000000000000299760216648792265914380550384521e-01,-3.808613277939589068094017321186584013048559427261e-03,-1.500841857601918627462822541929199360311031341553e-01,1.000000000000000020816681711721685132943093776703e-02
2.000000000000000388578058618804789148271083831787e-01,-4.014936632494515295066506155308161396533250808716e-03,-1.500932273545688144800180907623143866658210754395e-01,1.000000000000000020816681711721685132943093776703e-02
2.100000000000000477395900588817312382161617279053e-01,-4.221860808701779176066448684423448867164552211761e-03,-1.501027275751044554041868650529067963361740112305e-01,1.000000000000000020816681711721685132943093776703e-02
2.200000000000000566213742558829835616052150726318e-01,-4.429387810963619082071929256017028819769620895386e-03,-1.501126860429910225835925530191161669790744781494e-01,1.000000000000000020816681711721685132943093776703e-02
2.300000000000000655031584528842358849942684173584e-01,-4.637519649371420020489420465992225217632949352264e-03,-1.501231023738886782847856693479116074740886688232e-01,1.000000000000000020816681711721685132943093776703e-02
2.400000000000000743849426498854882083833217620850e-01,-4.846258339747369983663283221630990738049149513245e-03,-1.501339761778565651262340452376520261168479919434e-01,1.000000000000000020816681711721685132943093776703e-02
2.500000000000000555111512312578270211815834045410e-01,-5.055605903686001371954983341083789127878844738007e-03,-1.501453070592831673391032154540880583226680755615e-01,1.000000000000000020816681711721685132943093776703e-02
2.600000000000000643929354282590793445706367492676e-01,-5.265564368595613588264203741573510342277586460114e-03,-1.501570946168158393607683365189586766064167022705e-01,1.000000000000000020816681711721685132943093776703e-02
2.700000000000000732747196252603316679596900939941e-01,-5.476135767739575069268376239506324054673314094543e-03,-1.501693384432895017610576360311824828386306762695e-01,1.000000000000000020816681711721685132943093776703e-02
2.800000000000000821565038222615839913487434387207e-01,-5.687322140277498681848467043664641096256673336029e-03,-1.501820381256546432791054712652112357318401336670e-01,1.000000000000000020816681711721685132943093776703e-02
2.900000000000000910382880192628363147377967834473e-01,-5.899125531306293954147967895096371648833155632019e-03,-1.501951932449043791706344563863240182399749755859e-01,1.000000000000000020816681711721685132943093776703e-02
3.000000000000000999200722162640886381268501281738e-01,-6.111547991901093539179878888489838573150336742401e-03,-1.502088033760007601546959676852566190063953399658e-01,1.000000000000000020816681711721685132943093776703e-02
3.100000000000001088018564132653409615159034729004e-01,-6.324591579156041767917351137384684989228844642639e-03,-1.502228680878003319598690268321661278605461120605e-01,1.000000000000000020816681711721685132943093776703e-02
3.200000000000001176836406102665932849049568176270e-01,-6.538258356224959169655797097675531404092907905579e-03,-1.502373869429787511808882527475361712276935577393e-01,1.000000000000000020816681711721685132943093776703e-02
3.300000000000001265654248072678456082940101623535e-01,-6.752550392361863010326494816126796649768948554993e-03,-1.502523594979546239791545758635038509964942932129e-01,1.000000000000000020816681711721685132943093776703e-02
3.400000000000001354472090042690979316830635070801e-01,-6.967469762961357726549493918355437926948070526123e-03,-1.502677853028125676271287147756083868443965911865e-01,1.000000000000000020816681711721685132943093776703e-02
3.500000000000001443289932012703502550721168518066e-01,-7.183018549598876173467587591403571423143148422241e-03,-1.502836639012252728520024902536533772945404052734e-01,1.000000000000000020816681711721685132943093776703e-02
3.600000000000001532107773982716025784611701965332e-01,-7.399198840070782962063944410147087182849645614624e-03,-1.502999948303749555567065954164718277752399444580e-01,1.000000000000000020816681711721685132943093776703e-02
3.700000000000001620925615952728549018502235412598e-01,-7.616012728434331212346020123504786170087754726410e-03,-1.503167776208736983178937407501507550477981567383e-01,1.000000000000000020816681711721685132943093776703e-02
3.800000000000001709743457922741072252392768859863e-01,-7.833462315047468385587059458430303493514657020569e-03,-1.503340117966830702389557927745045162737369537354e-01,1.000000000000000020816681711721685132943093776703e-02
3.900000000000001798561299892753595486283302307129e-01,-8.051549706608486858816497999669081764295697212219e-03,-1.503516968750329141357724438421428203582763671875e-01,1.000000000000000020816681711721685132943093776703e-02
4.000000000000001887379141862766118720173835754395e-01,-8.270277016195527047814906040912319440394639968872e-03,-1.503698323663391622773133349255658686161041259766e-01,1.000000000000000020816681711721685132943093776703e-02
4.100000000000001976196983832778641954064369201660e-01,-8.489646363305918333463928604487591655924916267395e-03,-1.503884177741207917033960939079406671226024627686e-01,1.000000000000000020816681711721685132943093776703e-02
4.200000000000002065014825802791165187954902648926e-01,-8.709659873895355189366007664375501917675137519836e-03,-1.504074525949159746307515206353855319321155548096e-01,1.000000000000000020816681711721685132943093776703e-02
4.300000000000002153832667772803688421845436096191e-01,-8.930319680416918051713004444991383934393525123596e-03,-1.504269363181972574139422249572817236185073852539e-01,1.000000000000000020816681711721685132943093776703e-02
4.400000000000002242650509742816211655735969543457e-01,-9.151627921859915512636796108836279017850756645203e-03,-1.504468684262857958167103333835257217288017272949e-01,1.000000000000000020816681711721685132943093776703e-02
4.500000000000002331468351712828734889626502990723e-01,-9.373586743788568653723558554702321998775005340576e-03,-1.504672483942648686383591893900302238762378692627e-01,1.000000000000000020816681711721685132943093776703e-02
4.600000000000002420286193682841258123517036437988e-01,-9.596198298380508029392643720711930654942989349365e-03,-1.504880756898922533615348129387712106108665466309e-01,1.000000000000000020816681711721685132943093776703e-02
4.700000000000002509104035652853781357407569885254e-01,-9.819464744465104116821763113875931594520807266235e-03,-1.505093497735118246438901223882567137479782104492e-01,1.000000000000000020816681711721685132943093776703e-02
4.800000000000002597921877622866304591298103332520e-01,-1.004338824756160868101328986767839523963630199432e-02,-1.505310700979642368757538406498497352004051208496e-01,1.000000000000000020816681711721685132943093776703e-02
4.900000000000002686739719592878827825188636779785e-01,-1.026797097991711919806601116533784079365432262421e-02,-1.505532361084965520259260074453777633607387542725e-01,1.000000000000000020816681711721685132943093776703e-02
