time,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21,u22,u23,u24,u25,u26,u27,u28,u29,u30,u31,u32,u33,u34,u35,u36,u37,u38,u39,u40,u41,u42,u43,u44,u45,u46,u47,u48,u49,u50
0.00000000e+00,0.00000000e+00,2.00000000e-02,4.00000000e-02,6.00000000e-02,8.00000000e-02,1.00000000e-01,1.20000000e-01,1.40000000e-01,1.60000000e-01,1.80000000e-01,2.00000000e-01,2.20000000e-01,2.40000000e-01,2.60000000e-01,2.80000000e-01,3.00000000e-01,3.20000000e-01,3.40000000e-01,3.60000000e-01,3.80000000e-01,4.00000000e-01,4.20000000e-01,4.40000000e-01,4.60000000e-01,4.80000000e-01,5.00000000e-01,5.20000000e-01,5.40000000e-01,5.60000000e-01,5.80000000e-01,6.00000000e-01,6.20000000e-01,6.40000000e-01,6.60000000e-01,6.80000000e-01,7.00000000e-01,7.20000000e-01,7.40000000e-01,7.60000000e-01,7.80000000e-01,8.00000000e-01,8.20000000e-01,8.40000000e-01,8.60000000e-01,8.80000000e-01,9.00000000e-01,9.20000000e-01,9.40000000e-01,9.60000000e-01,9.80000000e-01,1.00000000e+00
0.00000000e+00,0.00000000e+00,1.96000000e-02,3.84000000e-02,5.64000000e-02,7.36000000e-02,9.00000000e-02,1.05600000e-01,1.20400000e-01,1.34400000e-01,1.47600000e-01,1.60000000e-01,1.71600000e-01,1.82400000e-01,1.92400000e-01,2.01600000e-01,2.10000000e-01,2.17600000e-01,2.24400000e-01,2.30400000e-01,2.35600000e-01,2.40000000e-01,2.43600000e-01,2.46400000e-01,2.48400000e-01,2.49600000e-01,2.50000000e-01,2.49600000e-01,2.48400000e-01,2.46400000e-01,2.43600000e-01,2.40000000e-01,2.35600000e-01,2.30400000e-01,2.24400000e-01,2.17600000e-01,2.10000000e-01,2.01600000e-01,1.92400000e-01,1.82400000e-01,1.71600000e-01,1.60000000e-01,1.47600000e-01,1.34400000e-01,1.20400000e-01,1.05600000e-01,9.00000000e-02,7.36000000e-02,5.64000000e-02,3.84000000e-02,1.96000000e-02,0.00000000e+00
1.00000000e-02,0.00000000e+00,-4.00000000e-04,1.84000000e-02,3.64000000e-02,5.36000000e-02,7.00000000e-02,8.56000000e-02,1.00400000e-01,1.14400000e-01,1.27600000e-01,1.40000000e-01,1.51600000e-01,1.62400000e-01,1.72400000e-01,1.81600000e-01,1.90000000e-01,1.97600000e-01,2.04400000e-01,2.10400000e-01,2.15600000e-01,2.20000000e-01,2.23600000e-01,2.26400000e-01,2.28400000e-01,2.29600000e-01,2.30000000e-01,2.29600000e-01,2.28400000e-01,2.26400000e-01,2.23600000e-01,2.20000000e-01,2.15600000e-01,2.10400000e-01,2.04400000e-01,1.97600000e-01,1.90000000e-01,1.81600000e-01,1.72400000e-01,1.62400000e-01,1.51600000e-01,1.40000000e-01,1.27600000e-01,1.14400000e-01,1.00400000e-01,8.56000000e-02,7.00000000e-02,5.36000000e-02,3.64000000e-02,1.84000000e-02,-4.00000000e-04,0.00000000e+00
2.00000000e-02,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,1.64000000e-02,3.36000000e-02,5.00000000e-02,6.56000000e-02,8.04000000e-02,9.44000000e-02,1.07600000e-01,1.20000000e-01,1.31600000e-01,1.42400000e-01,1.52400000e-01,1.61600000e-01,1.70000000e-01,1.77600000e-01,1.84400000e-01,1.90400000e-01,1.95600000e-01,2.00000000e-01,2.03600000e-01,2.06400000e-01,2.08400000e-01,2.09600000e-01,2.10000000e-01,2.09600000e-01,2.08400000e-01,2.06400000e-01,2.03600000e-01,2.00000000e-01,1.95600000e-01,1.90400000e-01,1.84400000e-01,1.77600000e-01,1.70000000e-01,1.61600000e-01,1.52400000e-01,1.42400000e-01,1.31600000e-01,1.20000000e-01,1.07600000e-01,9.44000000e-02,8.04000000e-02,6.56000000e-02,5.00000000e-02,3.36000000e-02,1.64000000e-02,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
3.00000000e-02,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,1.36000000e-02,3.00000000e-02,4.56000000e-02,6.04000000e-02,7.44000000e-02,8.76000000e-02,1.00000000e-01,1.11600000e-01,1.22400000e-01,1.32400000e-01,1.41600000e-01,1.50000000e-01,1.57600000e-01,1.64400000e-01,1.70400000e-01,1.75600000e-01,1.80000000e-01,1.83600000e-01,1.86400000e-01,1.88400000e-01,1.89600000e-01,1.90000000e-01,1.89600000e-01,1.88400000e-01,1.86400000e-01,1.83600000e-01,1.80000000e-01,1.75600000e-01,1.70400000e-01,1.64400000e-01,1.57600000e-01,1.50000000e-01,1.41600000e-01,1.32400000e-01,1.22400000e-01,1.11600000e-01,1.00000000e-01,8.76000000e-02,7.44000000e-02,6.04000000e-02,4.56000000e-02,3.00000000e-02,1.36000000e-02,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
4.00000000e-02,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,1.00000000e-02,2.55999999e-02,4.04000003e-02,5.43999997e-02,6.76000002e-02,8.00000002e-02,9.15999995e-02,1.02400001e-01,1.12400000e-01,1.21600000e-01,1.30000000e-01,1.37600000e-01,1.44400000e-01,1.50400000e-01,1.55600000e-01,1.60000000e-01,1.63600000e-01,1.66400000e-01,1.68400000e-01,1.69600000e-01,1.70000000e-01,1.69600000e-01,1.68400000e-01,1.66400000e-01,1.63600000e-01,1.60000000e-01,1.55600000e-01,1.50400000e-01,1.44400000e-01,1.37600000e-01,1.30000000e-01,1.21600000e-01,1.12400000e-01,1.02399999e-01,9.16000005e-02,7.99999996e-02,6.76000004e-02,5.43999997e-02,4.04000002e-02,2.55999999e-02,9.99999997e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
5.00000000e-02,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,5.60001394e-03,2.03999754e-02,3.44000273e-02,4.75999890e-02,5.99999809e-02,7.16000442e-02,8.23999506e-02,9.24000341e-02,1.01599990e-01,1.09999991e-01,1.17600014e-01,1.24399986e-01,1.30400016e-01,1.35599982e-01,1.40000014e-01,1.43599992e-01,1.46400004e-01,1.48399992e-01,1.49600014e-01,1.49999982e-01,1.49600016e-01,1.48399985e-01,1.46400016e-01,1.43599982e-01,1.40000016e-01,1.35599985e-01,1.30400016e-01,1.24399982e-01,1.17600017e-01,1.09999983e-01,1.01600026e-01,9.23999599e-02,8.24000489e-02,7.15999520e-02,6.00000428e-02,4.75999616e-02,3.44000328e-02,2.03999773e-02,5.60000973e-03,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
6.00000000e-02,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,4.02235311e-04,1.43977750e-02,2.76007415e-02,4.00017659e-02,5.15961222e-02,6.24043806e-02,7.23968495e-02,8.16011133e-02,9.00005295e-02,9.75987386e-02,1.04401464e-01,1.10398380e-01,1.15601663e-01,1.19998652e-01,1.23600835e-01,1.26399416e-01,1.28400835e-01,1.29598652e-01,1.30001663e-01,1.29598374e-01,1.28401537e-01,1.26398367e-01,1.23601729e-01,1.19998367e-01,1.15601537e-01,1.10398367e-01,1.04401736e-01,9.75982939e-02,9.00018954e-02,8.15973061e-02,7.24038356e-02,6.23953990e-02,5.16046476e-02,3.99957403e-02,2.76037719e-02,1.43968664e-02,4.02175109e-04,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
7.00000000e-02,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-5.41655601e-03,7.55219052e-03,1.98350627e-02,3.19436730e-02,4.20096457e-02,5.26917197e-02,6.14799267e-02,6.99703481e-02,7.77116550e-02,8.42562244e-02,9.05575473e-02,9.54443185e-02,1.00128493e-01,1.03510797e-01,1.06470360e-01,1.08310797e-01,1.09728493e-01,1.09844149e-01,1.09759702e-01,1.08243188e-01,1.06561688e-01,1.03433606e-01,1.00161688e-01,9.54430186e-02,9.05618570e-02,8.42314515e-02,7.77743852e-02,6.97971263e-02,6.18752737e-02,5.20296855e-02,4.28375277e-02,3.11507505e-02,2.04192115e-02,7.23034580e-03,-5.29777784e-03,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
8.00000000e-02,0.00000000e+00,-4.00000000e-04,-1.60000000e-03,-3.60000000e-03,-6.40000000e-03,-1.00000055e-02,-1.44014358e-02,-1.98010485e-02,-4.08102044e-02,-9.59466736e-03,1.54785150e-02,-1.91222681e-02,5.74121792e-02,5.34504548e-03,5.40352866e-02,5.12424840e-02,4.77932188e-02,7.81750606e-02,5.51937568e-02,9.03793980e-02,6.75817365e-02,9.29422700e-02,7.84922062e-02,9.77422700e-02,7.71775014e-02,1.04841570e-01,7.39580227e-02,1.04118532e-01,7.03971663e-02,9.98376686e-02,6.39929312e-02,9.13807042e-02,5.43307589e-02,8.10649324e-02,3.97695690e-02,7.11822838e-02,1.37818859e-02,6.83654432e-02,-1.95279577e-02,5.50317060e-02,-4.10139547e-02,2.37488965e-02,-5.48224749e-02,-1.98068894e-02,-1.44008787e-02,-9.99999337e-03,-6.39999970e-03,-3.59999999e-03,-1.60000000e-03,-4.00000000e-04,0.00000000e+00
