t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1.61000000e+00,1.70000000e+00,1.77000000e+00,1.82000000e+00,1.85000000e+00,1.86000000e+00,1.85000000e+00,1.82000000e+00,1.77000000e+00,1.70000000e+00,1.61000000e+00
1.61000000e+00,1.70078868e+00,1.76289181e+00,1.81077856e+00,1.84022245e+00,1.85011122e+00,1.84022245e+00,1.81077856e+00,1.76289181e+00,1.70078868e+00,1.61000000e+00
1.61000000e+00,1.69959134e+00,1.75692423e+00,1.80232194e+00,1.83080641e+00,1.84045882e+00,1.83080641e+00,1.80232194e+00,1.75692423e+00,1.69959134e+00,1.61000000e+00
1.61000000e+00,1.69744278e+00,1.75144086e+00,1.79447222e+00,1.82180413e+00,1.83113147e+00,1.82180413e+00,1.79447222e+00,1.75144086e+00,1.69744278e+00,1.61000000e+00
1.61000000e+00,1.69484262e+00,1.74620404e+00,1.78709182e+00,1.81321881e+00,1.82217514e+00,1.81321881e+00,1.78709182e+00,1.74620404e+00,1.69484262e+00,1.61000000e+00
1.61000000e+00,1.69204170e+00,1.74113433e+00,1.78008755e+00,1.80503221e+00,1.81360367e+00,1.80503221e+00,1.78008755e+00,1.74113433e+00,1.69204170e+00,1.61000000e+00
1.61000000e+00,1.68917098e+00,1.73621020e+00,1.77340114e+00,1.79721925e+00,1.80541146e+00,1.79721925e+00,1.77340114e+00,1.73621020e+00,1.68917098e+00,1.61000000e+00
1.61000000e+00,1.68630133e+00,1.73142958e+00,1.76699659e+00,1.78975452e+00,1.79758299e+00,1.78975452e+00,1.76699659e+00,1.73142958e+00,1.68630133e+00,1.61000000e+00
1.61000000e+00,1.68347224e+00,1.72679557e+00,1.76085086e+00,1.78261469e+00,1.79009884e+00,1.78261469e+00,1.76085086e+00,1.72679557e+00,1.68347224e+00,1.61000000e+00
1.61000000e+00,1.68070613e+00,1.72231132e+00,1.75494803e+00,1.77577909e+00,1.78293897e+00,1.77577909e+00,1.75494803e+00,1.72231132e+00,1.68070613e+00,1.61000000e+00
1.61000000e+00,1.67801569e+00,1.71797860e+00,1.74927608e+00,1.76922964e+00,1.77608430e+00,1.76922964e+00,1.74927608e+00,1.71797860e+00,1.67801569e+00,1.61000000e+00
1.61000000e+00,1.67540788e+00,1.71379753e+00,1.74382503e+00,1.76295042e+00,1.76951736e+00,1.76295042e+00,1.74382503e+00,1.71379753e+00,1.67540788e+00,1.61000000e+00
1.61000000e+00,1.67288616e+00,1.70976682e+00,1.73858604e+00,1.75692730e+00,1.76322233e+00,1.75692730e+00,1.73858604e+00,1.70976682e+00,1.67288616e+00,1.61000000e+00
1.61000000e+00,1.67045175e+00,1.70588408e+00,1.73355095e+00,1.75114763e+00,1.75718498e+00,1.75114763e+00,1.73355095e+00,1.70588408e+00,1.67045175e+00,1.61000000e+00
1.61000000e+00,1.66810445e+00,1.70214615e+00,1.72871200e+00,1.74559993e+00,1.75139246e+00,1.74559993e+00,1.72871200e+00,1.70214615e+00,1.66810445e+00,1.61000000e+00
1.61000000e+00,1.66584314e+00,1.69854930e+00,1.72406174e+00,1.74027367e+00,1.74583306e+00,1.74027367e+00,1.72406174e+00,1.69854930e+00,1.66584314e+00,1.61000000e+00
1.61000000e+00,1.66366610e+00,1.69508942e+00,1.71959300e+00,1.73515910e+00,1.74049608e+00,1.73515910e+00,1.71959300e+00,1.69508942e+00,1.66366610e+00,1.61000000e+00
1.61000000e+00,1.66157121e+00,1.69176223e+00,1.71529885e+00,1.73024717e+00,1.73537163e+00,1.73024717e+00,1.71529885e+00,1.69176223e+00,1.66157121e+00,1.61000000e+00
1.61000000e+00,1.65955610e+00,1.68856328e+00,1.71117258e+00,1.72552935e+00,1.73045049e+00,1.72552935e+00,1.71117258e+00,1.68856328e+00,1.65955610e+00,1.61000000e+00
1.61000000e+00,1.65761828e+00,1.68548815e+00,1.70720774e+00,1.72099763e+00,1.72572406e+00,1.72099763e+00,1.70720774e+00,1.68548815e+00,1.65761828e+00,1.61000000e+00
1.61000000e+00,1.65575516e+00,1.68253238e+00,1.70339806e+00,1.71664438e+00,1.72118422e+00,1.71664438e+00,1.70339806e+00,1.68253238e+00,1.65575516e+00,1.61000000e+00
